"Year","Catch"
1961,800
1962,3250
1963,6815
1964,12170
1965,17430
1966,10040
1967,6000
1968,5010
1969,3630
1970,2245
1971,3875
1972,3880
1973,2820
1974,2550
1975,2520
1976,2275
1977,622
1978,554
1979,670
1980,810
1981,1477
1982,3920
1983,3618
1984,1002
1985,185
1986,248
1987,483
1988,1107
1989,1527
1990,1716
1991,4528
1992,7770
1993,4820
1994,5966
1995,5635
1996,3340
1997,2935
1998,3055
1999,5409
2000,3333
2001,3133
2002,3339
2003,5256
2004,4811
2005,4522
2006,4958
2007,4187
2008,4052
2009,3952
2010,3902
2011,3444
2012,5077
2013,4879
2014,4278
2015,3945
2016,3434
2017,1835
2018,2359
2019,2748
2020,2617
