"Age","SS","Wbar","SD_Wbar"
3,50,73.4370542749782,26.3964637749503
4,61,133.222034112142,41.6296881092662
5,151,217.685204877101,65.7653870784877
6,160,291.764506882914,77.9356113649637
7,210,378.248314202022,90.8838290222291
8,284,483.68108373584,106.848642820515
9,342,564.362759976449,119.49686974423
10,329,621.373570129212,110.476041305215
11,352,679.047660379252,136.021563059182
12,260,717.105488383064,139.679205681319
13,245,778.568049136185,145.843487328631
14,199,805.972761372067,141.595555232505
15,172,817.276800593896,156.606422023647
16,194,874.03892576729,162.685686564296
17,169,892.178984669266,151.028938447416
18,166,894.559644708188,157.977858115561
19,129,936.555602243069,165.477398469621
20,186,927.45721305488,185.068156400433
21,163,938.406878364702,163.95020590365
22,132,969.988710732338,183.764760585717
23,142,980.387987163347,178.69611891244
24,129,1001.19364200416,171.017289979498
25,122,1008.47801809195,184.523070278752
26,101,989.90548547015,183.88389409609
27,99,1020.06025330754,190.70036055658
28,101,993.809807628832,193.125450700787
29,108,1028.82103801621,174.58130821232
30,82,1058.69696681691,191.602040700517
31,80,1044.75814815184,196.292026361792
32,96,1012.98336872269,174.225373702109
33,81,1043.66295441867,181.601463766394
34,75,1022.16408827384,166.18062243236
35,88,1029.17863447643,187.441384943143
36,81,1037.43629094655,168.603755163971
37,73,1026.57295313227,173.584622881981
38,59,1090.84736984436,204.102284686862
39,54,1086.9145302659,225.090147776715
40,63,1063.68099423101,202.22136706852
41,43,1060.97826136451,152.477096745982
42,37,1123.75037678964,141.27846701203
43,31,1018.12189655673,181.577183469433
44,38,1049.43852625249,182.142614761787
