"YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
2017,2017-09-06,303,"GOA",144.07
2017,2017-09-06,303,"GOA",526.87
2017,2017-09-07,303,"GOA",4.53
2017,2017-09-07,303,"GOA",3.84
2017,2017-05-22,303,"GOA",1928.18
2017,2017-05-22,303,"GOA",34.23
2017,2017-05-22,303,"GOA",43.88
2017,2017-05-23,303,"GOA",7.66
2017,2017-05-23,303,"GOA",21.26
2017,2017-05-26,303,"GOA",103.01
2017,2017-05-26,303,"GOA",106.52
2017,2017-05-09,303,"GOA",1100.88
2017,2017-10-31,303,"GOA",16215.68
2017,2017-10-31,303,"GOA",9541.5
2017,2017-10-31,303,"GOA",22715.77
2017,2017-08-08,303,"GOA",3068.55
2017,2017-08-08,303,"GOA",484.4
2017,2017-08-08,303,"GOA",5241.01
2017,2017-08-08,303,"GOA",755.64
2017,2017-08-08,303,"GOA",3968.14
2017,2017-08-08,303,"GOA",4822.39
2017,2017-08-08,303,"GOA",1385.68
2017,2017-08-10,303,"GOA",6693.18
2017,2017-08-10,303,"GOA",3324.25
2017,2017-08-10,303,"GOA",2463.85
2017,2017-08-10,303,"GOA",1399.17
2017,2017-08-10,303,"GOA",1220.11
2017,2017-08-10,303,"GOA",1887.8
2017,2017-08-10,303,"GOA",435.5
2017,2017-08-04,303,"GOA",62.47
2017,2017-08-04,303,"GOA",41.1
2017,2017-08-06,303,"GOA",5015.1
2017,2017-08-06,303,"GOA",984.52
2017,2017-08-06,303,"GOA",1224.89
2017,2017-08-06,303,"GOA",4928.19
2017,2017-08-06,303,"GOA",2700.28
2017,2017-09-20,303,"GOA",6.65
2017,2017-03-10,303,"GOA",135.5
2017,2017-05-14,303,"GOA",11.28
2017,2017-05-15,303,"GOA",55.04
2017,2017-05-16,303,"GOA",76.86
2017,2017-05-16,303,"GOA",38.38
2017,2017-05-16,303,"GOA",23.66
2017,2017-05-09,303,"GOA",386.49
2017,2017-05-10,303,"GOA",27.93
2017,2017-06-03,303,"GOA",111.5
2017,2017-07-16,303,"GOA",59.54
2017,2017-07-16,303,"GOA",78.35
2017,2017-07-17,303,"GOA",642.98
2017,2017-08-13,303,"GOA",32.63
2017,2017-08-14,303,"GOA",19.29
2017,2017-08-15,303,"GOA",104.42
2017,2017-08-16,303,"GOA",52.63
