"","YEAR","FMP_AREA","SPECIES","LENGTH","WEIGHT","AGE","PERFORMANCE"
"1",1990,"GOA",303,29,0.4,NA,1
"2",1990,"GOA",303,32,0.4,NA,1
"3",1990,"GOA",303,35,0.6,NA,1
"4",1990,"GOA",303,35,0.7,NA,1
"5",1990,"GOA",303,36,0.6,NA,1
"6",1990,"GOA",303,37,0.65,NA,1
"7",1990,"GOA",303,37,0.8,NA,1
"8",1990,"GOA",303,38,0.8,NA,1
"9",1990,"GOA",303,39,0.85,NA,1
"10",1990,"GOA",303,39,0.9,NA,1
"11",1990,"GOA",303,40,0.8,NA,1
"12",1990,"GOA",303,40,1,NA,1
"13",1990,"GOA",303,41,0.9,NA,1
"14",1990,"GOA",303,41,0.9,NA,1
"15",1990,"GOA",303,41,0.95,NA,1
"16",1990,"GOA",303,41,1.1,NA,1
"17",1990,"GOA",303,42,1.1,NA,1
"18",1990,"GOA",303,42,1.1,NA,1
"19",1990,"GOA",303,30,0.4,NA,1
"20",1990,"GOA",303,34,0.9,NA,1
"21",1990,"GOA",303,36,1,NA,1
"22",1990,"GOA",303,36,1.05,NA,1
"23",1990,"GOA",303,39,1.1,NA,1
"24",1990,"GOA",303,39,1.1,NA,1
"25",1990,"GOA",303,39,1.15,NA,1
"26",1990,"GOA",303,39,1.15,NA,1
"27",1990,"GOA",303,40,1.1,NA,1
"28",1990,"GOA",303,40,1.2,NA,1
"29",1990,"GOA",303,42,1.6,NA,1
"30",1990,"GOA",303,42,1.9,NA,1
"31",1990,"GOA",303,43,1.9,NA,1
"32",1990,"GOA",303,32,0.55,NA,1
"33",1990,"GOA",303,34,0.7,NA,1
"34",1990,"GOA",303,35,0.7,NA,1
"35",1990,"GOA",303,35,0.7,NA,1
"36",1990,"GOA",303,36,0.6,NA,1
"37",1990,"GOA",303,37,0.4,NA,1
"38",1990,"GOA",303,37,0.75,NA,1
"39",1990,"GOA",303,37,0.8,NA,1
"40",1990,"GOA",303,37,0.85,NA,1
"41",1990,"GOA",303,37,0.95,NA,1
"42",1990,"GOA",303,38,0.7,NA,1
"43",1990,"GOA",303,38,0.8,NA,1
"44",1990,"GOA",303,38,0.95,NA,1
"45",1990,"GOA",303,39,1.05,NA,1
"46",1990,"GOA",303,40,1.1,NA,1
"47",1990,"GOA",303,40,1.1,NA,1
"48",1990,"GOA",303,28,0.3,NA,1
"49",1990,"GOA",303,29,0.35,NA,1
"50",1990,"GOA",303,32,0.5,NA,1
"51",1990,"GOA",303,32,0.55,NA,1
"52",1990,"GOA",303,33,0.6,NA,1
"53",1990,"GOA",303,34,0.7,NA,1
"54",1990,"GOA",303,35,0.5,NA,1
"55",1990,"GOA",303,35,0.7,NA,1
"56",1990,"GOA",303,36,0.7,NA,1
"57",1990,"GOA",303,36,0.75,NA,1
"58",1990,"GOA",303,36,0.8,NA,1
"59",1990,"GOA",303,37,0.9,NA,1
"60",1990,"GOA",303,40,1.05,NA,1
"61",1990,"GOA",303,41,1.1,NA,1
"62",1990,"GOA",303,42,1.2,NA,1
"63",1990,"GOA",303,35,0.45,NA,1
"64",1990,"GOA",303,35,0.7,NA,1
"65",1990,"GOA",303,36,0.5,NA,1
"66",1990,"GOA",303,37,0.8,NA,1
"67",1990,"GOA",303,37,0.85,NA,1
"68",1990,"GOA",303,38,0.75,NA,1
"69",1990,"GOA",303,38,0.85,NA,1
"70",1990,"GOA",303,38,0.85,NA,1
"71",1990,"GOA",303,38,0.9,NA,1
"72",1990,"GOA",303,38,0.95,NA,1
"73",1990,"GOA",303,39,0.9,NA,1
"74",1990,"GOA",303,39,1.05,NA,1
"75",1992,"GOA",303,32,0.55,NA,1
"76",1992,"GOA",303,34,0.6,NA,1
"77",1992,"GOA",303,34,0.6,NA,1
"78",1992,"GOA",303,34,0.6,NA,1
"79",1992,"GOA",303,34,0.6,NA,1
"80",1992,"GOA",303,34,0.6,NA,1
"81",1992,"GOA",303,42,1,NA,1
"82",1992,"GOA",303,42,1.1,NA,1
"83",1992,"GOA",303,31,0.45,NA,1
"84",1992,"GOA",303,33,0.5,NA,1
"85",1992,"GOA",303,33,0.5,NA,1
"86",1992,"GOA",303,34,0.6,NA,1
