"","SURVEY","SURVEY_YEAR","SPECIES_CODE","SEX","AGE","AGEPOP","MEAN_LENGTH","STANDARD_DEVIATION"
"1","GOA",1984,30420,1,6,1678167.33333333,259.560242502635,12.8809954671627
"2","GOA",1984,30420,1,7,3316670.96676587,281.919277206237,10.1259541449269
"3","GOA",1984,30420,1,8,4223663.20807453,296.05237806092,12.732008595659
"4","GOA",1984,30420,1,9,2326084.76412612,302.992335770118,11.1618702176524
"5","GOA",1984,30420,1,10,1685581.54662698,313.030334052334,15.7394239346354
"6","GOA",1984,30420,1,11,1792919.08876812,314.99643951112,9.36354851735038
"7","GOA",1984,30420,1,12,855866.151030883,326.903771287136,14.8879421285216
"8","GOA",1984,30420,1,13,1386691.47069099,330.293298904538,16.8416718064219
"9","GOA",1984,30420,1,14,1882634.40396394,333.938439750706,19.4983257435726
"10","GOA",1984,30420,1,15,1555167.1868832,332.740504315453,24.7085016994109
"11","GOA",1984,30420,1,16,1040447.38315217,332.387829783831,13.6702114818801
"12","GOA",1984,30420,1,17,904623.523291925,341.51205535042,23.529040304134
"13","GOA",1984,30420,1,18,670232.679503106,345.715316753805,18.4867029712789
"14","GOA",1984,30420,1,20,247807.315217391,335.485138720815,4.97640838572968
"15","GOA",1984,30420,1,23,310082.9,363.207526116403,9.47163007156519
"16","GOA",1984,30420,1,24,411602.25,350.836711898441,8.58569558678934
"17","GOA",1984,30420,1,25,112342.464285714,320,0
"18","GOA",1984,30420,1,26,204771.4,370,NA
"19","GOA",1984,30420,1,27,346548.75,346.077730766595,4.88246826868833
"20","GOA",1984,30420,1,29,282707.464285714,344.104775645799,19.574238603267
"21","GOA",1984,30420,1,33,170365,360,0
"22","GOA",1984,30420,1,35,170365,360,0
"23","GOA",1984,30420,1,40,135925.75,340,0
"24","GOA",1984,30420,1,-9,3610733,217.051377102655,71.387633099102
"25","GOA",1984,30420,2,5,922421,240,0
"26","GOA",1984,30420,2,6,908756,250,0
"27","GOA",1984,30420,2,7,2607596.66666667,277.734050127896,12.9402432118417
"28","GOA",1984,30420,2,8,8150279.54812092,295.062636498292,16.6158427846058
