"CRUISEJOIN","REGION","SPECIES_CODE","LENGTH","FREQUENCY","YEAR","PERFORMANCE","HAULJOIN"
318,"GOA",30420,340,2,1987,0,30938
318,"GOA",30420,250,1,1987,0,30938
318,"GOA",30420,260,2,1987,0,30938
318,"GOA",30420,320,1,1987,0,30938
318,"GOA",30420,330,2,1987,0,30938
318,"GOA",30420,350,7,1987,0,30938
318,"GOA",30420,370,1,1987,0,30938
318,"GOA",30420,380,1,1987,0,30938
318,"GOA",30420,410,1,1987,0,30938
318,"GOA",30420,270,1,1987,0,30938
318,"GOA",30420,360,2,1987,0,30938
318,"GOA",30420,340,2,1987,0,30941
318,"GOA",30420,270,1,1987,0,30941
318,"GOA",30420,280,1,1987,0,30941
318,"GOA",30420,290,1,1987,0,30941
318,"GOA",30420,360,2,1987,0,30941
318,"GOA",30420,390,2,1987,0,30941
318,"GOA",30420,220,1,1987,0,30941
318,"GOA",30420,350,1,1987,0,30941
318,"GOA",30420,260,2,1987,0,30943
318,"GOA",30420,230,3,1987,0,30943
318,"GOA",30420,240,2,1987,0,30943
318,"GOA",30420,250,2,1987,0,30943
318,"GOA",30420,270,3,1987,0,30943
318,"GOA",30420,280,3,1987,0,30943
318,"GOA",30420,290,2,1987,0,30943
318,"GOA",30420,310,1,1987,0,30943
318,"GOA",30420,320,1,1987,0,30943
318,"GOA",30420,330,6,1987,0,30943
318,"GOA",30420,340,1,1987,0,30943
318,"GOA",30420,350,3,1987,0,30943
318,"GOA",30420,360,3,1987,0,30943
318,"GOA",30420,390,1,1987,0,30943
318,"GOA",30420,370,2,1987,0,30943
318,"GOA",30420,300,1,1987,0,30943
318,"GOA",30420,320,2,1987,0,30956
318,"GOA",30420,340,3,1987,0,30956
318,"GOA",30420,350,1,1987,0,30956
318,"GOA",30420,370,1,1987,0,30956
318,"GOA",30420,330,3,1987,0,30956
318,"GOA",30420,350,3,1987,0,30957
318,"GOA",30420,300,2,1987,0,30957
318,"GOA",30420,320,1,1987,0,30957
318,"GOA",30420,330,1,1987,0,30957
318,"GOA",30420,360,1,1987,0,30963
318,"GOA",30420,320,2,1987,0,30963
318,"GOA",30420,330,2,1987,0,30963
318,"GOA",30420,350,1,1987,0,30963
318,"GOA",30420,300,1,1987,0,30963
318,"GOA",30420,340,1,1987,0,30963
319,"GOA",30420,400,2,1987,6,31107
319,"GOA",30420,340,1,1987,6,31107
319,"GOA",30420,360,6,1987,6,31107
319,"GOA",30420,380,1,1987,6,31107
319,"GOA",30420,410,5,1987,6,31107
319,"GOA",30420,380,4,1987,6,31107
319,"GOA",30420,390,3,1987,6,31107
319,"GOA",30420,410,1,1987,6,31107
319,"GOA",30420,350,2,1987,6,31107
319,"GOA",30420,370,2,1987,6,31107
318,"GOA",30420,350,16,1987,0,30935
318,"GOA",30420,330,26,1987,0,30935
318,"GOA",30420,340,19,1987,0,30935
318,"GOA",30420,370,6,1987,0,30935
318,"GOA",30420,270,4,1987,0,30935
318,"GOA",30420,220,1,1987,0,30935
318,"GOA",30420,230,1,1987,0,30935
318,"GOA",30420,260,7,1987,0,30935
318,"GOA",30420,280,3,1987,0,30935
318,"GOA",30420,290,2,1987,0,30935
318,"GOA",30420,300,7,1987,0,30935
318,"GOA",30420,310,21,1987,0,30935
318,"GOA",30420,240,4,1987,0,30935
318,"GOA",30420,360,6,1987,0,30935
318,"GOA",30420,320,28,1987,0,30935
881075,"GOA",30420,350,1,1996,0,881521
881075,"GOA",30420,330,1,1996,0,881521
881075,"GOA",30420,340,1,1996,0,881521
881075,"GOA",30420,340,1,1996,0,881521
881075,"GOA",30420,370,2,1996,0,881521
881075,"GOA",30420,390,3,1996,0,881521
881075,"GOA",30420,400,1,1996,0,881521
881075,"GOA",30420,400,2,1996,0,881521
881075,"GOA",30420,420,1,1996,0,881521
881075,"GOA",30420,440,1,1996,0,881521
881075,"GOA",30420,320,1,1996,0,881521
881075,"GOA",30420,290,1,1996,0,881521
881075,"GOA",30420,300,1,1996,0,881521
881075,"GOA",30420,310,1,1996,0,881521
881075,"GOA",30420,360,1,1996,0,881522
881075,"GOA",30420,370,1,1996,0,881522
881075,"GOA",30420,380,1,1996,0,881525
881076,"GOA",30420,380,1,1996,0,881689
881076,"GOA",30420,420,1,1996,0,881689
881074,"GOA",30420,440,1,1996,0,881259
881074,"GOA",30420,340,1,1996,0,881259
881074,"GOA",30420,380,1,1996,0,881259
881074,"GOA",30420,420,1,1996,0,881259
881074,"GOA",30420,370,1,1996,0,881272
881076,"GOA",30420,400,1,1996,0,881695
881076,"GOA",30420,330,2,1996,0,881695
881076,"GOA",30420,380,1,1996,0,881695
881076,"GOA",30420,380,6,1996,0,881695
881076,"GOA",30420,390,2,1996,0,881695
881076,"GOA",30420,390,3,1996,0,881695
881076,"GOA",30420,400,2,1996,0,881695
881076,"GOA",30420,420,1,1996,0,881695
881076,"GOA",30420,430,1,1996,0,881695
881076,"GOA",30420,320,3,1996,0,881695
881076,"GOA",30420,300,1,1996,0,881695
881076,"GOA",30420,310,1,1996,0,881695
881076,"GOA",30420,320,3,1996,0,881695
881076,"GOA",30420,330,5,1996,0,881695
881076,"GOA",30420,340,1,1996,0,881695
881076,"GOA",30420,340,4,1996,0,881695
881076,"GOA",30420,360,8,1996,0,881695
881076,"GOA",30420,350,5,1996,0,881695
881076,"GOA",30420,350,10,1996,0,881695
881076,"GOA",30420,360,5,1996,0,881695
881076,"GOA",30420,370,4,1996,0,881695
881076,"GOA",30420,370,6,1996,0,881695
881076,"GOA",30420,320,2,1996,2.4,881700
881076,"GOA",30420,310,3,1996,2.4,881700
881076,"GOA",30420,310,4,1996,2.4,881700
881076,"GOA",30420,320,1,1996,2.4,881700
881076,"GOA",30420,330,1,1996,2.4,881700
881076,"GOA",30420,330,3,1996,2.4,881700
881076,"GOA",30420,340,3,1996,2.4,881700
881076,"GOA",30420,340,4,1996,2.4,881700
881076,"GOA",30420,350,3,1996,2.4,881700
881076,"GOA",30420,350,6,1996,2.4,881700
881076,"GOA",30420,370,15,1996,2.4,881700
881076,"GOA",30420,360,3,1996,2.4,881700
881076,"GOA",30420,360,15,1996,2.4,881700
881076,"GOA",30420,370,13,1996,2.4,881700
881076,"GOA",30420,380,11,1996,2.4,881700
881076,"GOA",30420,380,23,1996,2.4,881700
881076,"GOA",30420,390,13,1996,2.4,881700
881076,"GOA",30420,390,17,1996,2.4,881700
881076,"GOA",30420,400,2,1996,2.4,881700
881076,"GOA",30420,400,13,1996,2.4,881700
881076,"GOA",30420,410,12,1996,2.4,881700
881076,"GOA",30420,420,10,1996,2.4,881700
881076,"GOA",30420,300,3,1996,2.4,881700
881076,"GOA",30420,350,1,1996,1.1,881701
881076,"GOA",30420,400,5,1996,0,881703
881076,"GOA",30420,410,1,1996,0,881703
881076,"GOA",30420,420,3,1996,0,881703
881076,"GOA",30420,320,1,1996,0,881703
881076,"GOA",30420,340,1,1996,0,881703
881076,"GOA",30420,360,2,1996,0,881703
881076,"GOA",30420,370,1,1996,0,881703
881076,"GOA",30420,370,1,1996,0,881703
881076,"GOA",30420,380,1,1996,0,881703
881076,"GOA",30420,380,3,1996,0,881703
881076,"GOA",30420,360,2,1996,0,881878
881076,"GOA",30420,370,1,1996,0,881878
881076,"GOA",30420,380,1,1996,0,881878
881075,"GOA",30420,430,1,1996,0,881529
881075,"GOA",30420,430,1,1996,1.11,881421
881075,"GOA",30420,410,1,1996,0,881440
881075,"GOA",30420,380,3,1996,0,881440
881075,"GOA",30420,390,3,1996,0,881440
881075,"GOA",30420,400,1,1996,0,881440
881075,"GOA",30420,400,2,1996,0,881440
881076,"GOA",30420,320,1,1996,0,881857
881076,"GOA",30420,250,1,1996,0,881857
881076,"GOA",30420,270,1,1996,0,881857
881076,"GOA",30420,310,1,1996,0,881857
881076,"GOA",30420,330,1,1996,0,881857
881076,"GOA",30420,340,1,1996,0,881857
881076,"GOA",30420,340,2,1996,0,881857
881076,"GOA",30420,350,3,1996,0,881857
881076,"GOA",30420,350,12,1996,0,881857
881076,"GOA",30420,360,2,1996,0,881857
881076,"GOA",30420,360,10,1996,0,881857
881076,"GOA",30420,370,4,1996,0,881857
881076,"GOA",30420,370,7,1996,0,881857
881076,"GOA",30420,380,3,1996,0,881857
881076,"GOA",30420,380,7,1996,0,881857
881076,"GOA",30420,390,3,1996,0,881857
881076,"GOA",30420,400,1,1996,0,881857
881076,"GOA",30420,330,1,1996,0,881859
881076,"GOA",30420,410,1,1996,0,881861
881076,"GOA",30420,360,1,1996,0,881865
881076,"GOA",30420,380,1,1996,0,881868
881074,"GOA",30420,130,1,1996,1.11,881229
881074,"GOA",30420,370,1,1996,0,881239
881074,"GOA",30420,310,1,1996,0,881239
881074,"GOA",30420,310,1,1996,0,881239
881074,"GOA",30420,320,1,1996,0,881239
881074,"GOA",30420,340,1,1996,0,881240
881074,"GOA",30420,240,1,1996,0,881240
881074,"GOA",30420,300,1,1996,0,881240
881074,"GOA",30420,320,1,1996,0,881240
881074,"GOA",30420,350,2,1996,0,881240
881074,"GOA",30420,360,1,1996,0,881240
881074,"GOA",30420,360,4,1996,0,881240
881074,"GOA",30420,370,1,1996,0,881240
881074,"GOA",30420,370,2,1996,0,881240
881074,"GOA",30420,380,2,1996,0,881240
