"","obs","pred"
"1",800,825.489
"2",3250,3305.49
"3",6815,6974.78
"4",12170,12773.5
"5",17430,19027.6
"6",10040,10478.9
"7",6000,6119.9
"8",5010,5076.87
"9",3630,3652.97
"10",2245,2255.57
"11",3875,3895.85
"12",3880,3903.5
"13",2820,2832.68
"14",2550,2560.38
"15",2520,2528.21
"16",2275,2280.87
"17",622,634.25
"18",554,555.332
"19",670,671.523
"20",810,811.66
"21",1477,1478.39
"22",3920,3915.86
"23",3618,3614.76
"24",1002,1002.99
"25",185,186.027
"26",248,249.263
"27",483,484.787
"28",1107,1108.72
"29",1527,1527.97
"30",1716,1716.7
"31",4528,4510.82
"32",7770,7717.44
"33",4820,4803.92
"34",5966,5939.37
"35",5635,5611.19
"36",3340,3334.51
"37",2935,2931.48
"38",3055,3050.58
"39",5409,5387.72
"40",3333,3327.29
"41",3133,3128.31
"42",3339,3332.49
"43",5256,5228.72
"44",4811,4790.06
"45",4522,4505.16
"46",4958,4938.14
"47",4187,4177.14
"48",4052,4043.21
"49",3952,3943.86
"50",3902,3893.7
"51",3444,3440.2
"52",5077,5063.86
"53",4879,4868.97
"54",4278,4270.62
"55",3945,3933.5
"56",3434,3425.43
"57",1835,1835.05
"58",2359,2357.1
"59",2748,2746.92
"60",2617,2616.08
