year,biom,se,lci,uci,pred
1984,39334,11307,17172,61496,58987.9
1987,136417,39148,59687,213147,77256.3
1990,107076,45482,17931,196221,91820
1993,104992,36853,32760,177224,99061.6
1996,98965,26596,46837,151093,100061
1999,242187,147109,0,530521,98483.3
2001,343614,205475,0,746345,94566.7
2003,66310,31955,3678,128942,93841.8
2005,358999,132432,99432,618566,92720.3
2007,221226,84579,55451,387001,91554.2
2009,89896,28888,33276,146516,88858.6
2011,173642,67117,42093,305191,83257.4
2013,370454,220613,0,802855,74844.5
2015,48933,16689,16223,81643,65249.7
2017,150326,67890,17262,283390,57160.3
2019,86725,30706,26541,146909,51670.5
