"","obs","pred"
"1",800,825.28
"2",3250,3304.91
"3",6815,6974.7
"4",12170,12777.2
"5",17430,19040.4
"6",10040,10482.2
"7",6000,6121.1
"8",5010,5078.01
"9",3630,3653.76
"10",2245,2255.92
"11",3875,3896.77
"12",3880,3904.26
"13",2820,2833.06
"14",2550,2560.69
"15",2520,2528.52
"16",2275,2281.21
"17",622,634.348
"18",554,555.341
"19",670,671.533
"20",810,811.672
"21",1477,1478.42
"22",3920,3916.02
"23",3618,3614.9
"24",1002,1003.6
"25",185,186.046
"26",248,249.293
"27",483,484.836
"28",1107,1108.97
"29",1527,1528.42
"30",1716,1716.86
"31",4528,4511.91
"32",7770,7720.34
"33",4820,4802.14
"34",5966,5936.68
"35",5635,5608.83
"36",3340,3334.29
"37",2935,2931.31
"38",3055,3050.41
"39",5409,5385.05
"40",3333,3326.26
"41",3133,3127.52
"42",3339,3331.63
"43",5256,5229.64
"44",4811,4790.83
"45",4522,4505.8
"46",4958,4938.87
"47",4187,4176.89
"48",4052,4042.95
"49",3952,3941.14
"50",3902,3890.99
"51",3444,3437.11
"52",5077,5056.95
"53",4879,4863.32
"54",4278,4266.14
"55",3945,3936.45
"56",3434,3427.74
"57",1835,1835.64
"58",2359,2358.08
"59",2748,2747.02
"60",2617,2616.16
