"","obs","pred"
"1",800,824.82
"2",3250,3306.84
"3",6815,6992.65
"4",12170,12856.9
"5",17430,19251.7
"6",10040,10542.5
"7",6000,6140.87
"8",5010,5092.19
"9",3630,3660.89
"10",2245,2258.14
"11",3875,3905.28
"12",3880,3912.75
"13",2820,2837.02
"14",2550,2563.74
"15",2520,2531.4
"16",2275,2283.32
"17",622,634.258
"18",554,555.328
"19",670,671.519
"20",810,811.662
"21",1477,1478.46
"22",3920,3916.6
"23",3618,3615.37
"24",1002,1003.31
"25",185,186.031
"26",248,249.271
"27",483,484.813
"28",1107,1108.91
"29",1527,1528.34
"30",1716,1716.88
"31",4528,4512.33
"32",7770,7721.5
"33",4820,4804.57
"34",5966,5940.4
"35",5635,5612.17
"36",3340,3335.29
"37",2935,2932.11
"38",3055,3051.28
"39",5409,5390.17
"40",3333,3328.26
"41",3133,3129.63
"42",3339,3334.03
"43",5256,5230.3
"44",4811,4791.27
"45",4522,4508.75
"46",4958,4942.25
"47",4187,4179.53
"48",4052,4045.4
"49",3952,3937.61
"50",3902,3887.5
"51",3444,3435.4
"52",5077,5052.88
"53",4879,4860.17
"54",4278,4263.63
"55",3945,3934.81
"56",3434,3426.49
"57",1835,1835.54
"58",2359,2357.8
"59",2748,2747.51
"60",2617,2616.62
