"age","fish","srv1"
2,5.46772e-05,0.0120907
3,0.000273553,0.0224446
4,0.0013674,0.0412943
5,0.00680539,0.0747641
6,0.0331518,0.131637
7,0.146455,0.221419
8,0.46197,0.347904
9,0.811204,0.50022
10,0.955558,0.652496
11,0.990792,0.778885
12,0.998146,0.868565
13,0.999629,0.925358
14,0.999926,0.958775
15,0.999985,0.977594
16,0.999997,0.98793
17,0.999999,0.99353
18,1,0.996541
19,1,0.998153
20,1,0.999015
21,1,0.999475
22,1,0.99972
23,1,0.999851
24,1,0.99992
25,1,0.999958
26,1,0.999977
27,1,0.999988
28,1,0.999994
29,1,0.999997
30,1,0.999998
31,1,0.999999
32,1,0.999999
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
