"","year","length","value","groups","Length","Year"
"1",1984,15,0.00975498,"obs","15","1984"
"2",1984,16,0.0072102,"obs","16","1984"
"3",1984,17,0.00508955,"obs","17","1984"
"4",1984,18,0.00810386,"obs","18","1984"
"5",1984,19,0.00583583,"obs","19","1984"
"6",1984,20,0.00463876,"obs","20","1984"
"7",1984,21,0.00283806,"obs","21","1984"
"8",1984,22,0.00530221,"obs","22","1984"
"9",1984,23,0.00777519,"obs","23","1984"
"10",1984,24,0.0168062,"obs","24","1984"
"11",1984,25,0.0223006,"obs","25","1984"
"12",1984,26,0.0266235,"obs","26","1984"
"13",1984,27,0.0451373,"obs","27","1984"
"14",1984,28,0.0518949,"obs","28","1984"
"15",1984,29,0.0893639,"obs","29","1984"
"16",1984,30,0.0951581,"obs","30","1984"
"17",1984,31,0.102164,"obs","31","1984"
"18",1984,32,0.0930013,"obs","32","1984"
"19",1984,33,0.0744987,"obs","33","1984"
"20",1984,34,0.059505,"obs","34","1984"
"21",1984,35,0.0508738,"obs","35","1984"
"22",1984,36,0.0579366,"obs","36","1984"
"23",1984,37,0.0486747,"obs","37","1984"
"24",1984,38,0.109513,"obs","38","1984"
"25",1987,15,0.00351376,"obs","15","1987"
"26",1987,16,0.00377847,"obs","16","1987"
"27",1987,17,0.00479305,"obs","17","1987"
"28",1987,18,0.00429724,"obs","18","1987"
"29",1987,19,0.00495235,"obs","19","1987"
"30",1987,20,0.00802093,"obs","20","1987"
"31",1987,21,0.00938429,"obs","21","1987"
"32",1987,22,0.00993806,"obs","22","1987"
"33",1987,23,0.0116218,"obs","23","1987"
"34",1987,24,0.0130689,"obs","24","1987"
"35",1987,25,0.0150784,"obs","25","1987"
"36",1987,26,0.015046,"obs","26","1987"
"37",1987,27,0.0173303,"obs","27","1987"
"38",1987,28,0.0224755,"obs","28","1987"
"39",1987,29,0.0437501,"obs","29","1987"
"40",1987,30,0.0713935,"obs","30","1987"
"41",1987,31,0.117802,"obs","31","1987"
"42",1987,32,0.139716,"obs","32","1987"
"43",1987,33,0.13044,"obs","33","1987"
"44",1987,34,0.121696,"obs","34","1987"
"45",1987,35,0.0866154,"obs","35","1987"
"46",1987,36,0.0674853,"obs","36","1987"
"47",1987,37,0.034176,"obs","37","1987"
"48",1987,38,0.0436269,"obs","38","1987"
"49",1990,15,0.000593062,"obs","15","1990"
"50",1990,16,0,"obs","16","1990"
"51",1990,17,0.000203262,"obs","17","1990"
"52",1990,18,0,"obs","18","1990"
"53",1990,19,0.000552229,"obs","19","1990"
"54",1990,20,0.000658135,"obs","20","1990"
"55",1990,21,0.00133371,"obs","21","1990"
"56",1990,22,0.00341561,"obs","22","1990"
"57",1990,23,0.00547085,"obs","23","1990"
"58",1990,24,0.0117859,"obs","24","1990"
"59",1990,25,0.0112706,"obs","25","1990"
"60",1990,26,0.0297387,"obs","26","1990"
"61",1990,27,0.0243408,"obs","27","1990"
"62",1990,28,0.01659,"obs","28","1990"
"63",1990,29,0.0171389,"obs","29","1990"
"64",1990,30,0.0127796,"obs","30","1990"
"65",1990,31,0.0223576,"obs","31","1990"
"66",1990,32,0.0381805,"obs","32","1990"
"67",1990,33,0.0899662,"obs","33","1990"
"68",1990,34,0.125642,"obs","34","1990"
"69",1990,35,0.138953,"obs","35","1990"
"70",1990,36,0.118236,"obs","36","1990"
"71",1990,37,0.101613,"obs","37","1990"
"72",1990,38,0.22918,"obs","38","1990"
"73",1993,15,0.000127502,"obs","15","1993"
"74",1993,16,0.00027889,"obs","16","1993"
"75",1993,17,0.000663821,"obs","17","1993"
"76",1993,18,0.00110099,"obs","18","1993"
"77",1993,19,0.000552215,"obs","19","1993"
