"YEAR","HAUL_DATE","SPECIES","FMP_AREA","GEAR_TYPE","EXTRAPOLATED_WEIGHT"
2018,2018-09-21,303,"GOA",1,2730.44
2018,2018-05-22,303,"GOA",1,2457.34
2018,2018-05-22,303,"GOA",1,1792.82
2018,2018-05-22,303,"GOA",1,3385.07
2018,2018-05-22,303,"GOA",1,5500.84
2018,2018-05-31,303,"GOA",1,6127.5
2018,2018-05-31,303,"GOA",1,1777.25
2018,2018-05-31,303,"GOA",1,11050.73
2018,2018-06-01,303,"GOA",1,2191.34
2018,2018-06-01,303,"GOA",1,983.7
2018,2018-10-23,303,"GOA",1,46.24
2018,2018-06-06,303,"GOA",2,1234.94
2018,2018-05-27,303,"GOA",2,102.06
2018,2018-05-19,303,"GOA",1,25.12
2018,2018-05-21,303,"GOA",1,6537.24
2018,2018-05-21,303,"GOA",1,5202.06
2018,2018-05-21,303,"GOA",1,2535.61
2018,2018-05-21,303,"GOA",1,2395.23
2018,2018-05-15,303,"GOA",1,69.21
2018,2018-05-15,303,"GOA",1,17824.14
2018,2018-05-16,303,"GOA",1,751.34
2018,2018-05-16,303,"GOA",1,3726.24
2018,2018-05-16,303,"GOA",1,2795.81
2018,2018-05-16,303,"GOA",1,17935.27
2018,2018-05-21,303,"GOA",2,253.56
2018,2018-10-22,303,"GOA",1,35.97
2018,2018-05-09,303,"GOA",1,14066.21
2018,2018-05-09,303,"GOA",1,3617.85
2018,2018-05-09,303,"GOA",1,4526.57
2018,2018-10-05,303,"GOA",1,77.05
2018,2018-10-12,303,"GOA",1,100.83
2018,2018-05-02,303,"GOA",1,555.35
2018,2018-05-02,303,"GOA",1,1639.74
2018,2018-05-02,303,"GOA",1,70.76
2018,2018-05-03,303,"GOA",1,872.48
2018,2018-05-03,303,"GOA",1,122.95
2018,2018-09-17,303,"GOA",8,18.61
2018,2018-09-18,303,"GOA",8,24.81
2018,2018-09-20,303,"GOA",8,6.2
2018,2018-09-08,303,"GOA",8,14.18
2018,2018-09-10,303,"GOA",8,223.31
2018,2018-04-08,303,"GOA",1,824.73
2018,2018-04-08,303,"GOA",1,116.58
2018,2018-04-11,303,"GOA",1,18.72
2018,2018-04-12,303,"GOA",1,59.9
2018,2018-04-13,303,"GOA",1,271.24
2018,2018-09-25,303,"GOA",1,409.27
2018,2018-09-25,303,"GOA",1,2553.57
2018,2018-09-26,303,"GOA",1,104.97
2018,2018-09-11,303,"GOA",8,18.61
2018,2018-05-07,303,"GOA",1,19.35
2018,2018-09-15,303,"GOA",1,1883.65
2018,2018-09-16,303,"GOA",1,627.4
2018,2018-09-12,303,"GOA",8,14.47
2018,2018-09-13,303,"GOA",8,6.2
2018,2018-09-14,303,"GOA",8,130.26
2018,2018-09-15,303,"GOA",8,45.23
2018,2018-04-14,303,"GOA",1,19.48
2018,2018-04-14,303,"GOA",1,116.54
2018,2018-09-02,303,"GOA",8,45.49
2018,2018-09-04,303,"GOA",8,54.66
2018,2018-09-07,303,"GOA",8,6.62
2018,2018-09-07,303,"GOA",8,21.71
2018,2018-09-19,303,"GOA",1,73.63
2018,2018-05-03,303,"GOA",1,96.33
2018,2018-05-06,303,"GOA",1,56.02
2018,2018-05-06,303,"GOA",1,57.19
2018,2018-05-06,303,"GOA",1,5595.69
2018,2018-05-07,303,"GOA",1,26.78
2018,2018-05-07,303,"GOA",1,4681.13
2018,2018-05-07,303,"GOA",1,2457.09
2018,2018-05-07,303,"GOA",1,10149.73
2018,2018-05-07,303,"GOA",1,4257.07
2018,2018-08-30,303,"GOA",1,529.99
2018,2018-08-24,303,"GOA",1,5190.23
2018,2018-08-24,303,"GOA",1,70.03
2018,2018-08-25,303,"GOA",1,542.31
2018,2018-08-25,303,"GOA",1,695.01
2018,2018-05-07,303,"GOA",2,734.1
2018,2018-05-07,303,"GOA",2,2279.96
2018,2018-08-25,303,"GOA",1,1425.48
2018,2018-08-27,303,"GOA",1,43.41
2018,2018-08-27,303,"GOA",1,11952.63
2018,2018-09-17,303,"GOA",1,9955.36
2018,2018-09-17,303,"GOA",1,471.9
2018,2018-02-20,303,"GOA",1,34.57
2018,2018-05-06,303,"GOA",2,1466.28
2018,2018-05-06,303,"GOA",2,2110.28
2018,2018-05-06,303,"GOA",2,322.24
2018,2018-05-06,303,"GOA",2,877.16
2018,2018-05-06,303,"GOA",2,1087.21
2018,2018-08-27,303,"GOA",1,5729.13
2018,2018-08-27,303,"GOA",1,3036.72
2018,2018-08-27,303,"GOA",1,95.67
2018,2018-08-27,303,"GOA",1,983.76
2018,2018-08-28,303,"GOA",1,21586.81
2018,2018-08-28,303,"GOA",1,13760.73
2018,2018-08-28,303,"GOA",1,903.85
2018,2018-08-29,303,"GOA",1,702.83
2018,2018-08-29,303,"GOA",1,2636.91
2018,2018-08-29,303,"GOA",1,25.14
2018,2018-08-29,303,"GOA",1,1309.96
2018,2018-08-29,303,"GOA",1,1630.7
2018,2018-08-30,303,"GOA",1,313.95
2018,2018-06-27,303,"GOA",1,711.64
2018,2018-06-27,303,"GOA",1,1082.19
2018,2018-06-28,303,"GOA",1,156.28
2018,2018-07-06,303,"GOA",1,248.09
2018,2018-07-06,303,"GOA",1,1339.28
2018,2018-07-06,303,"GOA",1,1456.21
2018,2018-07-06,303,"GOA",1,9153.23
