"SURVEY","YEAR","SPECIES_CODE","HAUL_COUNT","CATCH_COUNT","MEAN_WGT_CPUE","VAR_WGT_CPUE","MEAN_NUM_CPUE","VAR_NUM_CPUE","TOTAL_BIOMASS","BIOMASS_VAR","MIN_BIOMASS","MAX_BIOMASS","TOTAL_POP","POP_VAR"
"GOA",2003,30420,809,126,215.000881203781,10735.3412467767,260.060699108142,13382.8091383176,66309.9,1021150676.01394,1728,130892,80206533,1272979059017961
"GOA",1996,30420,807,135,329.654781511422,7848.29732526165,409.724831179838,13118.4151438173,98965.2,707334567.740206,46306,151625,123003263,1182308483054219
"GOA",1999,30420,764,119,756.819085718056,211330.375235515,949.411743653255,366461.228310823,242186.7,21641102939.9518,0,562738,303817843,37527142780764320
"GOA",2001,30420,489,107,1557.84954191403,867816.138002535,2050.29355970383,1343702.50441864,343613.5,42219837390.6808,0,763193,452230845,65372028421347136
"GOA",2021,30420,529,70,293.983988659774,10556.4215919018,294.996564933768,11033.3134486309,90670.2,1004131754.83316,25963,155377,90981575,1049493931096598
"GOA",2017,30420,536,92,487.420776800529,48455.1468220507,474.41847170852,43970.5146529956,150325.9,4609076208.7836,9522,291130,146318962,4182495901196317
"GOA",1990,30420,708,130,364.619488393263,23987.5913274102,519.490124119428,40638.3030411822,107076.2,2068646138.103,12973,201179,152553996,3504573156085911
"GOA",1993,30420,774,148,357.520618438173,15748.8013835438,526.479338551696,34119.3609149786,104992.1,1358147915.60969,31286,178698,154606439,2942391473489107
"GOA",1987,30420,783,202,430.458056643644,15259.7096987729,741.726671533622,32826.1763763056,136416.7,1532588438.39435,58120,214713,235062739,3296852914250752
"GOA",2011,30420,670,89,563.008352391517,47358.1378306845,511.219259117575,36676.216575158,173641.8,4504728200.893,37998,309286,157667207,3488658859409921
"GOA",2015,30420,771,95,152.913782450279,2719.89606621448,159.069612423532,2800.33678374425,48933.4,278528586.765248,14854,83013,50902391,286766048354408
"GOA",1984,30420,929,157,125.961314785612,1311.32744152972,229.989847034103,3466.2182175284,39333.7,127857604.696389,16719,61949,71815797,337964679615930
"GOA",2013,30420,548,86,1201.1466831708,511666.800108797,1277.91954236968,607140.21001008,370454.1,48669985128.0335,0,826902,394129278,57751460492528672
"GOA",2019,30420,541,74,281.192406222994,9912.09341016142,336.316945313633,15807.5713935904,86725,942842957.091719,23717,149733,103725339,1503623577829912
"GOA",2009,30420,823,132,280.916394774492,8148.98261981029,287.934052287902,8143.36383297129,89895.9,834489464.8233,32121,147671,92139788,833914077852805
"GOA",2005,30420,837,147,1121.84996687207,171265.097522805,1247.93562069035,179691.759547028,358998.6,17538253085.3948,94134,623863,399348283,18401178067679756
"GOA",2007,30420,816,139,691.313148586808,69856.9468759907,810.659419178084,108819.432426892,221226.4,7153639777.19372,52068,390385,259414192,11143559161303766
