"year","recruits","rec_lci","rec_uci","tot_biom","tot_lci","tot_uci","sp_biom","sp_lci","sp_uci"
1961,10387,20,2919,117105,87258,162464,50597,34918,71849
1962,16150,21,3334,115097,87204,159006,49297,34388,69640
1963,16153,20,2932,111162,85003,153253,46941,32667,66626
1964,9263,19,2140,104069,79150,143510,43009,29596,62033
1965,7486,15,1632,91629,68284,128193,36545,23866,54172
1966,7880,16,1562,73353,52767,105770,27413,16168,42943
1967,9104,16,1736,64527,45105,94479,22726,12337,37032
1968,10916,19,2068,60489,41429,89523,20400,10670,34008
1969,13227,20,2538,57775,39251,86402,18903,9819,31874
1970,23759,25,3200,57066,38714,85279,18335,9877,30423
1971,14733,25,4340,58234,40048,86305,18559,10416,30191
1972,53965,33,5242,59235,40177,87886,18177,10352,29438
1973,20081,26,4351,61306,41374,90478,17751,10062,28685
1974,12924,19,2842,65240,43963,96168,17765,10201,28526
1975,22954,24,2954,70052,47016,102857,17995,10357,28720
1976,13449,22,2899,74991,49948,109403,18492,10747,29318
1977,33742,25,4585,80560,53844,117659,19509,11444,30735
1978,57116,82,7133,88920,60004,128793,21720,13170,33269
1979,45658,24,5595,98570,67146,141505,24584,15243,36996
1980,20321,25,3528,108739,74885,155465,27962,17731,41540
1981,15169,21,2760,118810,82008,168194,31620,20290,46478
1982,26093,34,3334,127988,88731,180694,35071,22783,51083
1983,30062,34,4494,134342,92457,190216,37429,24351,54574
1984,45838,64,4682,141125,96374,199993,39922,26064,58296
1985,18958,26,3994,150239,103028,212084,43788,28851,63558
1986,62932,208,6053,160870,110991,225918,48456,32399,69693
1987,31722,45,3857,171620,118862,239821,53438,36031,76171
1988,14630,28,2355,181759,126072,252525,58283,39550,82370
1989,20204,55,2346,190570,132238,264386,62494,42559,87927
1990,23259,107,2394,198045,137457,273974,66113,45331,92801
1991,9775,21,1492,203969,141660,282033,69455,47641,97093
1992,20488,193,2098,205828,142000,285653,71620,48630,100470
1993,13775,41,1622,203143,137888,284586,72490,48300,102276
1994,13054,66,1518,202292,136320,284711,74558,49340,105439
1995,9461,23,1233,199132,132889,281574,75846,49581,107946
1996,52537,1405,4339,196460,130288,279377,76658,49711,109639
1997,34840,491,3245,196484,130104,279775,77723,50259,111415
1998,20839,99,2433,197261,130435,281603,78249,50584,112378
1999,23463,124,2381,198239,130782,283408,78136,50188,112198
2000,40330,908,3745,197520,129436,284307,76539,48805,110455
2001,15717,47,1844,199030,129921,287941,75697,48032,109403
2002,11652,34,1484,200497,130402,290537,74996,47547,108755
2003,14147,112,1524,201241,130134,292807,74530,47122,108379
2004,6622,26,813,199177,127425,291975,73765,45998,107922
2005,3159,11,467,196451,124457,290135,73724,45502,108397
2006,3239,14,471,192803,120647,285962,74099,45374,109849
2007,5245,24,632,187580,115828,280513,74288,45046,110759
2008,4978,22,712,182127,110969,273319,74569,44803,111776
2009,6742,36,877,176037,106279,265839,74457,44258,112207
2010,6875,32,870,169501,101152,257174,73759,43329,111785
2011,5299,18,771,162632,95795,248895,72362,42051,110371
2012,5371,18,800,155982,91051,240511,70476,40505,108252
2013,4384,14,787,147571,84316,229390,67227,37771,104344
2014,5404,13,1004,139371,77450,218410,63650,34912,100078
2015,6423,15,1330,131887,71411,208487,60139,32219,95661
2016,8448,16,1820,124969,65999,199518,56730,29587,91185
2017,7922,14,2045,118857,61169,191790,53622,27362,86734
2018,9379,17,3161,114695,58495,186409,51370,25845,83160
2019,9697,16,3534,110382,55196,180737,48961,24221,79904
2020,10615,15,5971,106120,52297,176367,46462,22324,76551
2021,18110,471,99827,102660,49387,173616,42774,19991,71120
2022,18110,519,101732,99455,47867,170109,40416,18873,66738
