"year","biomass","se","lci","uci"
1990,106645.6157,17867.53113,71625.25472,141665.9767
1993,108277.6938,16265.0686,76398.1593,140157.2282
1996,181895.391,36959.0429,109455.6669,254335.1151
1999,173849.827,51358.98599,73186.2145,274513.4396
2001,253260.7095,36072.49731,182558.6148,323962.8042
2003,107228.9848,17205.27688,73506.64217,140951.3275
2005,236085.2556,30274.09996,176748.0197,295422.4915
2007,206102.2053,30782.83527,145767.8482,266436.5624
2009,89847.23983,13778.95791,62840.48232,116853.9973
2011,155675.5679,29430.782,97991.23521,213359.9006
2013,369021.1809,78320.02184,215513.9381,522528.4237
2015,115822.4082,29104.96252,58776.68172,172868.1348
2017,179317.8369,28562.57466,123335.1905,235300.4832
2019,110105.444,17521.89875,75762.52245,144448.3656
2021,74073.5623,11429.29444,51672.14521,96474.9794
