"year","biomass","se","lci","uci"
1984,39334,11307,17171,61496
1987,136417,39148,59686,213147
1990,107076,45482,17931,196222
1993,104992,36853,32760,177224
1996,98965,26596,46838,151093
1999,242187,147109,0,530521
2001,343614,205475,0,746344
2003,66310,31955,3677,128943
2005,358999,132432,99432,618565
2007,221226,84579,55451,387002
2009,89896,28888,33276,146515
2011,173642,67117,42092,305192
2013,370454,220613,0,802855
2015,48933,16689,16223,81644
2017,150326,67890,17261,283391
2019,86725,30706,26542,146908
2021,90670,31688,28562,152779
