"","x"
"1",29.7
"2",74.4
"3",136
"4",209.2
"5",288.5
"6",369.4
"7",448.5
"8",523.6
"9",593.2
"10",656.6
"11",713.6
"12",764.2
"13",808.7
"14",847.7
"15",881.5
"16",910.8
"17",936
"18",957.7
"19",976.2
"20",992.1
"21",1005.6
"22",1017.1
"23",1026.9
"24",1035.2
"25",1042.2
"26",1048.2
"27",1053.3
"28",1057.6
"29",1061.2
"30",1064.3
"31",1066.9
"32",1069.1
"33",1070.9
"34",1072.5
"35",1073.8
"36",1074.9
"37",1075.9
"38",1076.7
"39",1077.4
"40",1077.9
"41",1078.4
"42",1078.8
"43",1079.2
"44",1079.5
"45",1079.7
"46",1079.9
"47",1080.1
"48",1080.2
"49",1080.4
"50",1080.8
