"YEAR","HAUL_JOIN","PORT_JOIN","FMP_AREA","FMP_GEAR","SPECIES","LENGTH","WEIGHT","AGE","SPECIMEN_TYPE","PERFORMANCE"
1998,"982567",NA,"GOA","TRW",303,34,0.55,11,1,1
1998,"982567",NA,"GOA","TRW",303,36,0.7,12,1,1
1998,"982567",NA,"GOA","TRW",303,36,0.75,14,1,1
1998,"982567",NA,"GOA","TRW",303,37,0.7,13,1,1
1998,"982567",NA,"GOA","TRW",303,37,0.75,14,1,1
1998,"982567",NA,"GOA","TRW",303,38,0.75,23,1,1
1998,"982567",NA,"GOA","TRW",303,38,0.85,25,1,1
1998,"982567",NA,"GOA","TRW",303,39,0.85,14,1,1
1998,"982567",NA,"GOA","TRW",303,39,0.95,16,1,1
1998,"982567",NA,"GOA","TRW",303,41,1,26,1,1
1998,"982561",NA,"GOA","TRW",303,35,0.65,8,1,1
1998,"982561",NA,"GOA","TRW",303,36,0.65,11,1,1
1998,"982561",NA,"GOA","TRW",303,36,0.7,12,1,1
1998,"982561",NA,"GOA","TRW",303,38,0.75,11,1,1
1998,"982561",NA,"GOA","TRW",303,38,0.8,11,1,1
1998,"982561",NA,"GOA","TRW",303,39,0.75,15,1,1
1998,"982561",NA,"GOA","TRW",303,39,0.85,13,1,1
1998,"982561",NA,"GOA","TRW",303,39,0.85,31,1,1
1998,"982561",NA,"GOA","TRW",303,40,0.9,26,1,1
1998,"982561",NA,"GOA","TRW",303,40,0.95,17,1,1
1998,"982569",NA,"GOA","TRW",303,36,0.65,15,1,1
1998,"982569",NA,"GOA","TRW",303,36,0.7,10,1,1
1998,"982569",NA,"GOA","TRW",303,36,0.7,12,1,1
1998,"982569",NA,"GOA","TRW",303,36,0.7,11,1,1
1998,"982569",NA,"GOA","TRW",303,36,0.75,15,1,1
1998,"982569",NA,"GOA","TRW",303,38,0.85,16,1,1
1998,"982569",NA,"GOA","TRW",303,38,0.85,29,1,1
1998,"982569",NA,"GOA","TRW",303,39,0.9,13,1,1
1998,"982569",NA,"GOA","TRW",303,39,0.9,38,1,1
1998,"982569",NA,"GOA","TRW",303,40,0.95,21,1,1
1998,"982574",NA,"GOA","TRW",303,35,0.65,12,1,1
1998,"982574",NA,"GOA","TRW",303,35,0.65,15,1,1
1998,"982574",NA,"GOA","TRW",303,35,0.7,12,1,1
1998,"982574",NA,"GOA","TRW",303,36,0.7,11,1,1
1998,"982574",NA,"GOA","TRW",303,37,0.8,13,1,1
1998,"982574",NA,"GOA","TRW",303,37,0.85,14,1,1
1998,"982574",NA,"GOA","TRW",303,39,0.85,12,1,1
1998,"982574",NA,"GOA","TRW",303,39,0.9,15,1,1
1998,"979649",NA,"GOA","TRW",303,33,0.55,10,1,1
