"CRUISE","YEAR","HAULJOIN","CRUISEJOIN","SPECIES_CODE","FREQUENCY","LENGTH","SEX","REGION","PERFORMANCE","STRATUM"
199301,1993,784361,784786,30420,1,380,2,"GOA",0,131
199301,1993,784363,784786,30420,1,190,1,"GOA",0,131
199301,1993,784370,784786,30420,2,320,1,"GOA",0,134
199301,1993,784370,784786,30420,1,340,1,"GOA",0,134
199301,1993,784370,784786,30420,1,350,1,"GOA",0,134
199301,1993,784370,784786,30420,2,370,1,"GOA",0,134
199301,1993,784370,784786,30420,1,370,2,"GOA",0,134
199301,1993,784370,784786,30420,1,330,1,"GOA",0,134
199301,1993,784370,784786,30420,1,340,2,"GOA",0,134
199301,1993,784370,784786,30420,1,380,1,"GOA",0,134
199301,1993,784372,784786,30420,1,350,2,"GOA",0,130
199301,1993,784372,784786,30420,1,350,1,"GOA",0,130
199301,1993,784372,784786,30420,1,370,1,"GOA",0,130
199301,1993,784374,784786,30420,1,370,1,"GOA",0,133
199301,1993,784378,784786,30420,1,270,1,"GOA",0,133
199301,1993,784378,784786,30420,1,300,1,"GOA",0,133
199301,1993,784698,784787,30420,1,370,1,"GOA",0,133
199301,1993,784698,784787,30420,1,220,2,"GOA",0,133
199301,1993,784698,784787,30420,1,240,2,"GOA",0,133
199301,1993,784701,784787,30420,1,400,2,"GOA",0,132
199301,1993,784707,784787,30420,2,380,2,"GOA",0,131
199301,1993,784707,784787,30420,1,360,1,"GOA",0,131
199301,1993,784707,784787,30420,1,380,1,"GOA",0,131
199301,1993,784707,784787,30420,2,390,1,"GOA",0,131
199301,1993,784707,784787,30420,1,340,2,"GOA",0,131
199301,1993,784707,784787,30420,1,360,2,"GOA",0,131
199301,1993,784707,784787,30420,3,370,2,"GOA",0,131
199301,1993,784707,784787,30420,3,400,2,"GOA",0,131
199301,1993,784707,784787,30420,1,420,2,"GOA",0,131
199301,1993,784707,784787,30420,2,390,2,"GOA",0,131
199301,1993,784712,784787,30420,5,380,1,"GOA",0,131
199301,1993,784712,784787,30420,1,370,2,"GOA",0,131
199301,1993,784712,784787,30420,1,390,2,"GOA",0,131
199301,1993,784712,784787,30420,1,400,2,"GOA",0,131
199301,1993,784716,784787,30420,2,400,2,"GOA",0,130
199301,1993,784716,784787,30420,1,230,1,"GOA",0,130
199301,1993,784716,784787,30420,1,310,1,"GOA",0,130
199301,1993,784716,784787,30420,2,330,1,"GOA",0,130
199301,1993,784716,784787,30420,1,350,1,"GOA",0,130
199301,1993,784716,784787,30420,2,370,1,"GOA",0,130
199301,1993,784716,784787,30420,1,390,1,"GOA",0,130
199301,1993,784716,784787,30420,1,320,2,"GOA",0,130
199301,1993,784716,784787,30420,3,390,2,"GOA",0,130
