"","year","t","sd"
"1",1987,124506.8808,15821.5679
"2",1990,98584.48063,14633.09311
"3",1993,108883.963,16178.29961
"4",1996,182889.0851,38190.43644
"5",1999,160252.8963,42149.7855
"6",2001,264811.1158,39106.65186
"7",2003,112462.8225,19443.94328
"8",2005,239909.8497,31513.84096
"9",2007,209828.1962,33324.8459
"10",2009,85588.41203,11238.89445
"11",2011,169027.1563,35580.57468
"12",2013,412982.2133,100264.5789
"13",2015,123599.5023,34041.96852
"14",2017,185436.8385,30466.18462
"15",2019,105616.8013,16198.48003
"16",2021,79320.02585,12022.02889
