Year,Foreign,Joint,Domestic,ABC,TAC,measure
1961,800,,,,,
1962,3250,,,,,
1963,6815,,,,,
1964,12170,,,,,
1965,17430,,,,,
1966,10040,,,,,
1967,6000,,,,,
1968,5010,,,,,
1969,3630,,,,,
1970,2245,,,,,
1971,3875,,,,,
1972,3880,,,,,
1973,2820,,,,,
1974,2550,,,,,
1975,2520,,,,,
1976,2275,,,,,
1977,622,,,,,
1978,553,,,,,
1979,666,3,,,,
1980,809,0,,,,
1981,1469,,,,,
1982,3914,,,,,
1983,2705,911,,,,
1984,494,497,10,,,
1985,0,11,70,,,
1986,0,56,237,,,
1987,,0,427,,,
1988,,,1107,,,"The slope rockfish assemblage, including northern rockfish, was one of three management groups for Sebastes implemented by the North Pacific Management Council. Previously, Sebastes in Alaska were managed as ""Pacific ocean perch complex"" or ""other rockfish"""
1989,,,1527,,,
1990,,,1697,,,
1991,,,4528,,,"Slope assemblage split into three management subgroups with separate ABCs and TACs: POP, shortraker/rougheye rockfish, other slope species"
1992,,,7770,,,
1993,,,4820,5760,5760,Designated as a subgroup of slope rockfish with separate ABC and TAC
1994,,,5966,5760,5760,
1995,,,5635,5270,5270,
1996,,,3340,5720,5270,
1997,,,2935,5000,5000,
1998,,,3055,5000,5000,
1999,,,5409,4990,4990,"Eastern GOA divided into West Yakutat and East Yakutat/Southeast Outside due to trawl closure in Eastern GOA. The ABC and TAC for northern rockfish in Eastern GOA allocated to West Yakutat ABC as part of ""other slope rockfish""."
2000,,,3333,5120,5120,Amendment 41 prohibited trawling in the Eastern Gulf (40 degrees W). Preliminary age-structured model results presented to PT
2001,,,3133,4880,4880,Assessed with an age structured model using AD Model Builder software.
2002,,,3339,4770,4770,
2003,,,5256,5530,5530,
2004,,,4811,4870,4870,
2005,,,4522,5091,5091,
2006,,,4958,5091,5091,
2007,,,4187,4938,4938,Amendment 68 created the Central Gulf Rockfish Pilot Project
2008,,,4052,4549,4549,
2009,,,3952,4362,4362,
2010,,,3902,5098,5098,
2011,,,3443,4854,4854,
2012,,,5077,5507,5507,NPFMCs Central GOA Rockfish Program implemented
2013,,,4879,5130,5130,
2014,,,4277,5324,5324,
2015,,,3944,4999,4999,
2016,,,3437,4004,4004,
2017,,,1836,3786,3786,
2018,,,2440,3685,3685,
2019,,,2748,4528,4528,
2020,,,2375,4312,4312,
2021,,,2376,5358,5358,
2022,,,2003,5147,5147,
