Likelihoods,base,m18.2b,m22,m22.1,m22.1a,m22.1b
Catch,0.126,0.098,0.083,0.091,0.173,0.246
Survey biomass,11.504,11.041,6.148,6.022,6.023,22.268
Fishery ages,37.429,40.917,41.078,40.177,100.979,99.894
Survey ages,68.741,67.118,66.057,69.160,119.246,119.669
Fishery lengths,46.267,49.996,50.704,67.907,131.253,131.536
Maturity,23.501,23.501,23.501,23.501,23.501,23.501
Data,164.067,169.171,164.070,183.356,357.674,373.612
,,,,,,
Penalties/Priors,,,,,,
Recruitment devs,8.931,8.780,8.757,8.640,9.847,10.024
F regularity,5.601,5.499,5.471,5.457,5.942,6.074
M prior,0.067,0.062,0.020,0.014,0.012,0.048
q prior,0.374,0.255,0.099,0.052,0.015,0.096
Objective function,249.27,253.99,248.65,267.75,443.72,460.08
,,,,,,
Parameter estimates,,,,,,
# parameters ,181,185,185,185,185,185
M,0.059,0.059,0.059,0.059,0.060,0.059
q,0.678,0.725,0.819,0.865,0.926,0.821
rec,3.487,3.515,3.530,3.504,3.409,3.465
F40,0.061,0.061,0.061,0.061,0.061,0.061
Projected total biomass,102661,101479,99365,95559,86908,108108
Projected spawning biomass,42774,42135,41102,39463,36402,45876
B100,84832,85282,83815,82350,78318,89078
B40,33933,34113,33526,32940,31327,35631
ABC,5357,5251,5147,4972,4573,5726
