"age","fish","srv1","maturity"
2,6.40661e-05,0.00606249,0.0037307
3,0.000306191,0.012765,0.00711441
4,0.00146204,0.0266789,0.0135255
5,0.00695082,0.0549151,0.025565
6,0.0323774,0.109669,0.0478021
7,0.1379,0.207054,0.0876418
8,0.433322,0.356309,0.155271
9,0.785199,0.539899,0.260203
10,0.945872,0.713264,0.402277
11,0.988171,0.840593,0.562901
12,0.997502,0.917889,0.711334
13,0.999476,0.95951,0.825029
14,0.99989,0.980482,0.900225
15,0.999977,0.990697,0.945249
16,0.999995,0.99559,0.970619
17,0.999999,0.997915,0.984427
18,1,0.999015,0.9918
19,1,0.999535,0.995698
20,1,0.999781,0.997747
21,1,0.999897,0.998821
22,1,0.999951,0.999384
23,1,0.999977,0.999678
24,1,0.999989,0.999832
25,1,0.999995,0.999912
26,1,0.999998,0.999954
27,1,0.999999,0.999976
28,1,0.999999,0.999987
29,1,1,0.999993
30,1,1,0.999997
31,1,1,0.999998
32,1,1,0.999999
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
