"","year","length","value","groups","Length","Year"
"1",1990,15,0.000593062,"obs","15","1990"
"2",1990,16,0,"obs","16","1990"
"3",1990,17,0.000203262,"obs","17","1990"
"4",1990,18,0,"obs","18","1990"
"5",1990,19,0.000552235,"obs","19","1990"
"6",1990,20,0.000658135,"obs","20","1990"
"7",1990,21,0.00133371,"obs","21","1990"
"8",1990,22,0.00341561,"obs","22","1990"
"9",1990,23,0.00547085,"obs","23","1990"
"10",1990,24,0.0117859,"obs","24","1990"
"11",1990,25,0.0112706,"obs","25","1990"
"12",1990,26,0.0297387,"obs","26","1990"
"13",1990,27,0.0243408,"obs","27","1990"
"14",1990,28,0.01659,"obs","28","1990"
"15",1990,29,0.0171389,"obs","29","1990"
"16",1990,30,0.0127796,"obs","30","1990"
"17",1990,31,0.0223576,"obs","31","1990"
"18",1990,32,0.0381805,"obs","32","1990"
"19",1990,33,0.0899662,"obs","33","1990"
"20",1990,34,0.125642,"obs","34","1990"
"21",1990,35,0.138953,"obs","35","1990"
"22",1990,36,0.118236,"obs","36","1990"
"23",1990,37,0.101613,"obs","37","1990"
"24",1990,38,0.22918,"obs","38","1990"
"25",1993,15,0.000127502,"obs","15","1993"
"26",1993,16,0.00027889,"obs","16","1993"
"27",1993,17,0.000663821,"obs","17","1993"
"28",1993,18,0.00110099,"obs","18","1993"
"29",1993,19,0.000552215,"obs","19","1993"
"30",1993,20,0.000486746,"obs","20","1993"
"31",1993,21,0.000647096,"obs","21","1993"
"32",1993,22,0.00154458,"obs","22","1993"
"33",1993,23,0.00260802,"obs","23","1993"
"34",1993,24,0.0032662,"obs","24","1993"
"35",1993,25,0.00655339,"obs","25","1993"
"36",1993,26,0.00527833,"obs","26","1993"
"37",1993,27,0.00683184,"obs","27","1993"
"38",1993,28,0.00776173,"obs","28","1993"
"39",1993,29,0.00694753,"obs","29","1993"
"40",1993,30,0.0122183,"obs","30","1993"
"41",1993,31,0.0145814,"obs","31","1993"
"42",1993,32,0.0410703,"obs","32","1993"
"43",1993,33,0.055244,"obs","33","1993"
"44",1993,34,0.090737,"obs","34","1993"
"45",1993,35,0.146674,"obs","35","1993"
"46",1993,36,0.161237,"obs","36","1993"
"47",1993,37,0.123143,"obs","37","1993"
"48",1993,38,0.310446,"obs","38","1993"
"49",1996,15,0.000410652,"obs","15","1996"
"50",1996,16,0.000321227,"obs","16","1996"
"51",1996,17,0.000769829,"obs","17","1996"
"52",1996,18,0.000987511,"obs","18","1996"
"53",1996,19,0.000532605,"obs","19","1996"
"54",1996,20,0.000910565,"obs","20","1996"
"55",1996,21,0.000730654,"obs","21","1996"
"56",1996,22,0.00210648,"obs","22","1996"
"57",1996,23,0.00230807,"obs","23","1996"
"58",1996,24,0.00200161,"obs","24","1996"
"59",1996,25,0.00312282,"obs","25","1996"
"60",1996,26,0.00698527,"obs","26","1996"
"61",1996,27,0.00821016,"obs","27","1996"
"62",1996,28,0.00551906,"obs","28","1996"
"63",1996,29,0.00802584,"obs","29","1996"
"64",1996,30,0.00903588,"obs","30","1996"
"65",1996,31,0.0159874,"obs","31","1996"
"66",1996,32,0.0203311,"obs","32","1996"
"67",1996,33,0.0266953,"obs","33","1996"
"68",1996,34,0.0341475,"obs","34","1996"
"69",1996,35,0.0594602,"obs","35","1996"
"70",1996,36,0.121278,"obs","36","1996"
"71",1996,37,0.117794,"obs","37","1996"
"72",1996,38,0.552328,"obs","38","1996"
"73",1999,15,0.000157686,"obs","15","1999"
"74",1999,16,0.000233261,"obs","16","1999"
"75",1999,17,0.00013125,"obs","17","1999"
"76",1999,18,0.000476442,"obs","18","1999"
"77",1999,19,0.000674832,"obs","19","1999"
"78",1999,20,0.000784513,"obs","20","1999"
"79",1999,21,0.00119172,"obs","21","1999"
"80",1999,22,0.00168782,"obs","22","1999"
"81",1999,23,0.00338608,"obs","23","1999"
"82",1999,24,0.00179762,"obs","24","1999"
"83",1999,25,0.00216329,"obs","25","1999"
"84",1999,26,0.00606612,"obs","26","1999"
"85",1999,27,0.00196639,"obs","27","1999"
"86",1999,28,0.00563203,"obs","28","1999"
"87",1999,29,0.00182684,"obs","29","1999"
"88",1999,30,0.00256298,"obs","30","1999"
"89",1999,31,0.00232319,"obs","31","1999"
"90",1999,32,0.0267781,"obs","32","1999"
"91",1999,33,0.0309122,"obs","33","1999"
"92",1999,34,0.035407,"obs","34","1999"
"93",1999,35,0.0538331,"obs","35","1999"
"94",1999,36,0.0777479,"obs","36","1999"
"95",1999,37,0.128249,"obs","37","1999"
"96",1999,38,0.614011,"obs","38","1999"
"97",2001,15,0.000322127,"obs","15","2001"
"98",2001,16,0.000661316,"obs","16","2001"
"99",2001,17,0.000417196,"obs","17","2001"
"100",2001,18,0.00268523,"obs","18","2001"
"101",2001,19,0.00245622,"obs","19","2001"
"102",2001,20,0.0015148,"obs","20","2001"
"103",2001,21,0.00149714,"obs","21","2001"
"104",2001,22,0.00164241,"obs","22","2001"
"105",2001,23,0.00123679,"obs","23","2001"
"106",2001,24,0.00201607,"obs","24","2001"
"107",2001,25,0.00190915,"obs","25","2001"
"108",2001,26,0.00393809,"obs","26","2001"
"109",2001,27,0.00491074,"obs","27","2001"
"110",2001,28,0.00797422,"obs","28","2001"
"111",2001,29,0.00513707,"obs","29","2001"
"112",2001,30,0.00953669,"obs","30","2001"
"113",2001,31,0.0105617,"obs","31","2001"
"114",2001,32,0.0231682,"obs","32","2001"
"115",2001,33,0.0171753,"obs","33","2001"
"116",2001,34,0.0530374,"obs","34","2001"
"117",2001,35,0.0510252,"obs","35","2001"
"118",2001,36,0.121347,"obs","36","2001"
"119",2001,37,0.126852,"obs","37","2001"
"120",2001,38,0.548978,"obs","38","2001"
"121",2003,15,0.000353761,"obs","15","2003"
"122",2003,16,0,"obs","16","2003"
"123",2003,17,0.00018853,"obs","17","2003"
"124",2003,18,0,"obs","18","2003"
"125",2003,19,0.000536766,"obs","19","2003"
"126",2003,20,0.00109426,"obs","20","2003"
"127",2003,21,0.001256,"obs","21","2003"
"128",2003,22,0.00247718,"obs","22","2003"
"129",2003,23,0.00384865,"obs","23","2003"
"130",2003,24,0.00579537,"obs","24","2003"
"131",2003,25,0.00697796,"obs","25","2003"
"132",2003,26,0.0181141,"obs","26","2003"
"133",2003,27,0.0112102,"obs","27","2003"
"134",2003,28,0.0071957,"obs","28","2003"
"135",2003,29,0.00989403,"obs","29","2003"
"136",2003,30,0.0147976,"obs","30","2003"
"137",2003,31,0.0207492,"obs","31","2003"
"138",2003,32,0.0396464,"obs","32","2003"
"139",2003,33,0.064099,"obs","33","2003"
"140",2003,34,0.0767755,"obs","34","2003"
"141",2003,35,0.0630623,"obs","35","2003"
"142",2003,36,0.0782659,"obs","36","2003"
"143",2003,37,0.0706265,"obs","37","2003"
"144",2003,38,0.503035,"obs","38","2003"
"145",2005,15,4.70346e-05,"obs","15","2005"
"146",2005,16,0.000111551,"obs","16","2005"
"147",2005,17,0.000177515,"obs","17","2005"
"148",2005,18,1.32875e-05,"obs","18","2005"
"149",2005,19,4.47783e-05,"obs","19","2005"
"150",2005,20,0.000198894,"obs","20","2005"
"151",2005,21,0.000239999,"obs","21","2005"
"152",2005,22,0.000286177,"obs","22","2005"
"153",2005,23,0.000124175,"obs","23","2005"
"154",2005,24,0.0014564,"obs","24","2005"
"155",2005,25,0.000379637,"obs","25","2005"
"156",2005,26,0.00081842,"obs","26","2005"
"157",2005,27,0.00117965,"obs","27","2005"
"158",2005,28,0.00133444,"obs","28","2005"
"159",2005,29,0.0634923,"obs","29","2005"
"160",2005,30,0.0341422,"obs","30","2005"
"161",2005,31,0.0117434,"obs","31","2005"
"162",2005,32,0.0130615,"obs","32","2005"
"163",2005,33,0.0211406,"obs","33","2005"
"164",2005,34,0.025475,"obs","34","2005"
"165",2005,35,0.0314662,"obs","35","2005"
"166",2005,36,0.0520259,"obs","36","2005"
"167",2005,37,0.0554039,"obs","37","2005"
"168",2005,38,0.685637,"obs","38","2005"
"169",2007,15,6.49579e-05,"obs","15","2007"
"170",2007,16,0,"obs","16","2007"
"171",2007,17,3.17271e-05,"obs","17","2007"
"172",2007,18,3.43913e-05,"obs","18","2007"
"173",2007,19,0.000102993,"obs","19","2007"
"174",2007,20,0,"obs","20","2007"
"175",2007,21,0.000102993,"obs","21","2007"
"176",2007,22,0.000167627,"obs","22","2007"
"177",2007,23,8.16408e-05,"obs","23","2007"
"178",2007,24,0.00041487,"obs","24","2007"
"179",2007,25,0.00202737,"obs","25","2007"
"180",2007,26,0.00229235,"obs","26","2007"
"181",2007,27,0.00606998,"obs","27","2007"
"182",2007,28,0.00215067,"obs","28","2007"
"183",2007,29,0.00639994,"obs","29","2007"
"184",2007,30,0.00334814,"obs","30","2007"
"185",2007,31,0.00719443,"obs","31","2007"
"186",2007,32,0.0177605,"obs","32","2007"
"187",2007,33,0.0380923,"obs","33","2007"
"188",2007,34,0.0618399,"obs","34","2007"
"189",2007,35,0.0699132,"obs","35","2007"
"190",2007,36,0.0836627,"obs","36","2007"
"191",2007,37,0.0926913,"obs","37","2007"
"192",2007,38,0.605556,"obs","38","2007"
"193",2009,15,0.000710908,"obs","15","2009"
"194",2009,16,0.00114299,"obs","16","2009"
"195",2009,17,0.000355454,"obs","17","2009"
"196",2009,18,0.00106452,"obs","18","2009"
"197",2009,19,0.000931648,"obs","19","2009"
"198",2009,20,0.000714106,"obs","20","2009"
"199",2009,21,0.000566707,"obs","21","2009"
"200",2009,22,0.000615057,"obs","22","2009"
"201",2009,23,0.00117002,"obs","23","2009"
"202",2009,24,0.000491658,"obs","24","2009"
"203",2009,25,0.00106104,"obs","25","2009"
"204",2009,26,0.00148229,"obs","26","2009"
"205",2009,27,0.00256835,"obs","27","2009"
"206",2009,28,0.0021525,"obs","28","2009"
"207",2009,29,0.00183656,"obs","29","2009"
"208",2009,30,0.00771829,"obs","30","2009"
"209",2009,31,0.00637638,"obs","31","2009"
"210",2009,32,0.0130917,"obs","32","2009"
"211",2009,33,0.0117779,"obs","33","2009"
"212",2009,34,0.032203,"obs","34","2009"
"213",2009,35,0.0396991,"obs","35","2009"
"214",2009,36,0.0562354,"obs","36","2009"
"215",2009,37,0.0815489,"obs","37","2009"
"216",2009,38,0.734485,"obs","38","2009"
"217",2011,15,0,"obs","15","2011"
"218",2011,16,0,"obs","16","2011"
"219",2011,17,0.000121306,"obs","17","2011"
"220",2011,18,0.000125663,"obs","18","2011"
"221",2011,19,0.000125663,"obs","19","2011"
"222",2011,20,0.000369899,"obs","20","2011"
"223",2011,21,0.000125663,"obs","21","2011"
"224",2011,22,0.000376997,"obs","22","2011"
"225",2011,23,0.000750835,"obs","23","2011"
"226",2011,24,0.000125663,"obs","24","2011"
"227",2011,25,0.000236466,"obs","25","2011"
"228",2011,26,0.000406686,"obs","26","2011"
"229",2011,27,0.000251333,"obs","27","2011"
"230",2011,28,0.000535888,"obs","28","2011"
"231",2011,29,0.000170219,"obs","29","2011"
"232",2011,30,0.000148255,"obs","30","2011"
"233",2011,31,0.000703311,"obs","31","2011"
"234",2011,32,0.00181021,"obs","32","2011"
"235",2011,33,0.0036192,"obs","33","2011"
"236",2011,34,0.0148258,"obs","34","2011"
"237",2011,35,0.0123963,"obs","35","2011"
"238",2011,36,0.0183995,"obs","36","2011"
"239",2011,37,0.044214,"obs","37","2011"
"240",2011,38,0.900161,"obs","38","2011"
"241",2013,15,0,"obs","15","2013"
"242",2013,16,0,"obs","16","2013"
"243",2013,17,0,"obs","17","2013"
"244",2013,18,0,"obs","18","2013"
"245",2013,19,9.56691e-05,"obs","19","2013"
"246",2013,20,0,"obs","20","2013"
"247",2013,21,0,"obs","21","2013"
"248",2013,22,7.08676e-05,"obs","22","2013"
"249",2013,23,8.39877e-05,"obs","23","2013"
"250",2013,24,0.000119423,"obs","24","2013"
"251",2013,25,0.000670265,"obs","25","2013"
"252",2013,26,0.000682796,"obs","26","2013"
"253",2013,27,0.00131708,"obs","27","2013"
"254",2013,28,0.00100398,"obs","28","2013"
"255",2013,29,0.00126232,"obs","29","2013"
"256",2013,30,0.003819,"obs","30","2013"
"257",2013,31,0.00161524,"obs","31","2013"
"258",2013,32,0.00424212,"obs","32","2013"
"259",2013,33,0.00502861,"obs","33","2013"
"260",2013,34,0.0118459,"obs","34","2013"
"261",2013,35,0.0132541,"obs","35","2013"
"262",2013,36,0.0343865,"obs","36","2013"
"263",2013,37,0.0400746,"obs","37","2013"
"264",2013,38,0.880428,"obs","38","2013"
"265",2015,15,0,"obs","15","2015"
"266",2015,16,0,"obs","16","2015"
"267",2015,17,0,"obs","17","2015"
"268",2015,18,0.000929261,"obs","18","2015"
"269",2015,19,0,"obs","19","2015"
"270",2015,20,0,"obs","20","2015"
"271",2015,21,0,"obs","21","2015"
"272",2015,22,0.000480361,"obs","22","2015"
"273",2015,23,0,"obs","23","2015"
"274",2015,24,0,"obs","24","2015"
"275",2015,25,0.00232228,"obs","25","2015"
"276",2015,26,0.000960702,"obs","26","2015"
"277",2015,27,0.000743091,"obs","27","2015"
"278",2015,28,0.00420977,"obs","28","2015"
"279",2015,29,0.00209818,"obs","29","2015"
"280",2015,30,0.00214023,"obs","30","2015"
"281",2015,31,0.00572529,"obs","31","2015"
"282",2015,32,0.00715843,"obs","32","2015"
"283",2015,33,0.00853563,"obs","33","2015"
"284",2015,34,0.0125986,"obs","34","2015"
"285",2015,35,0.00701936,"obs","35","2015"
"286",2015,36,0.0250783,"obs","36","2015"
"287",2015,37,0.0528802,"obs","37","2015"
"288",2015,38,0.86712,"obs","38","2015"
"289",2017,15,0,"obs","15","2017"
"290",2017,16,8.47395e-05,"obs","16","2017"
"291",2017,17,0,"obs","17","2017"
"292",2017,18,0,"obs","18","2017"
"293",2017,19,0.000124543,"obs","19","2017"
"294",2017,20,0.000140406,"obs","20","2017"
"295",2017,21,0.000147725,"obs","21","2017"
"296",2017,22,0.000147725,"obs","22","2017"
"297",2017,23,0.000293872,"obs","23","2017"
"298",2017,24,0.000404247,"obs","24","2017"
"299",2017,25,0.00138391,"obs","25","2017"
"300",2017,26,0,"obs","26","2017"
"301",2017,27,0.00149106,"obs","27","2017"
"302",2017,28,0.00126269,"obs","28","2017"
"303",2017,29,0.000971979,"obs","29","2017"
"304",2017,30,0.00442062,"obs","30","2017"
"305",2017,31,0.00421632,"obs","31","2017"
"306",2017,32,0.00819467,"obs","32","2017"
"307",2017,33,0.0074201,"obs","33","2017"
"308",2017,34,0.00806245,"obs","34","2017"
"309",2017,35,0.013521,"obs","35","2017"
"310",2017,36,0.0164009,"obs","36","2017"
"311",2017,37,0.0324828,"obs","37","2017"
"312",2017,38,0.898828,"obs","38","2017"
"313",2019,15,0,"obs","15","2019"
"314",2019,16,0,"obs","16","2019"
"315",2019,17,0.000388397,"obs","17","2019"
"316",2019,18,0,"obs","18","2019"
"317",2019,19,0,"obs","19","2019"
"318",2019,20,0,"obs","20","2019"
"319",2019,21,0,"obs","21","2019"
"320",2019,22,0,"obs","22","2019"
"321",2019,23,0.000378319,"obs","23","2019"
"322",2019,24,0.000756637,"obs","24","2019"
"323",2019,25,0.0010883,"obs","25","2019"
"324",2019,26,0.00206443,"obs","26","2019"
"325",2019,27,0.0012932,"obs","27","2019"
"326",2019,28,0.00378109,"obs","28","2019"
"327",2019,29,0.00160291,"obs","29","2019"
"328",2019,30,0.0039761,"obs","30","2019"
"329",2019,31,0.00472406,"obs","31","2019"
"330",2019,32,0.00935056,"obs","32","2019"
"331",2019,33,0.0189316,"obs","33","2019"
"332",2019,34,0.0184792,"obs","34","2019"
"333",2019,35,0.022758,"obs","35","2019"
"334",2019,36,0.0398618,"obs","36","2019"
"335",2019,37,0.058931,"obs","37","2019"
"336",2019,38,0.811634,"obs","38","2019"
"337",2021,15,0,"obs","15","2021"
"338",2021,16,0.000206745,"obs","16","2021"
"339",2021,17,0,"obs","17","2021"
"340",2021,18,0,"obs","18","2021"
"341",2021,19,0.000833257,"obs","19","2021"
"342",2021,20,0,"obs","20","2021"
"343",2021,21,0.000419777,"obs","21","2021"
"344",2021,22,0.00125933,"obs","22","2021"
"345",2021,23,0,"obs","23","2021"
"346",2021,24,0.0016791,"obs","24","2021"
"347",2021,25,0.00209888,"obs","25","2021"
"348",2021,26,0.0016791,"obs","26","2021"
"349",2021,27,0.00410651,"obs","27","2021"
"350",2021,28,0.00282131,"obs","28","2021"
"351",2021,29,0.00260351,"obs","29","2021"
"352",2021,30,0.00686965,"obs","30","2021"
"353",2021,31,0.00683743,"obs","31","2021"
