"year","biomass","se","lci","uci","pred"
1990,107076,45482,17931.28,196220.72,107417
1993,104992,36853,32760.12,177223.88,115343
1996,98965,26596,46836.84,151093.16,116188
1999,242187,147109,-46146.64,530520.64,114016
2001,343614,205475,-59117,746345,109254
2003,66310,31955,3678.2,128941.8,108319
2005,358999,132432,99432.28,618565.72,106980
2007,221226,84579,55451.16,387000.84,105474
2009,89896,28888,33275.52,146516.48,102270
2011,173642,67117,42092.68,305191.32,95789.8
2013,370454,220613,-61947.48,802855.48,86163.6
2015,48933,16689,16222.56,81643.44,75231.1
2017,150326,67890,17261.6,283390.4,65990.2
2019,86725,30706,26541.24,146908.76,59620
2021,90670,31688,28561.52,152778.48,52988.3
