"","obs","pred"
"1",800,824.122
"2",3250,3300.22
"3",6815,6967.89
"4",12170,12781.4
"5",17430,19093.6
"6",10040,10504.9
"7",6000,6134.04
"8",5010,5095.4
"9",3630,3667.01
"10",2245,2260.35
"11",3875,3914.03
"12",3880,3919.37
"13",2820,2838.94
"14",2550,2564.91
"15",2520,2532.67
"16",2275,2284.39
"17",622,633.688
"18",554,555.267
"19",670,671.455
"20",810,811.603
"21",1477,1478.41
"22",3920,3916.83
"23",3618,3615.52
"24",1002,1003.24
"25",185,186.013
"26",248,249.249
"27",483,484.804
"28",1107,1108.97
"29",1527,1528.47
"30",1716,1716.67
"31",4528,4511.03
"32",7770,7717.8
"33",4820.3,4800.78
"34",5966.19,5934.83
"35",5635.4,5607.78
"36",3340.31,3334.3
"37",2935.01,2931.19
"38",3055.45,3050.77
"39",5408.89,5386.2
"40",3333.47,3327.33
"41",3132.77,3128.89
"42",3339.25,3333.76
"43",5256.07,5233.91
"44",4810.79,4794.36
"45",4521.67,4511.29
"46",4957.71,4945.5
"47",4186.65,4182.57
"48",4052.09,4048.87
"49",3951.65,3939.98
"50",3902.36,3890.61
"51",3443.93,3436.53
"52",5077.01,5055.25
"53",4879.28,4860.94
"54",4278.23,4264.27
"55",3944.55,3933.74
"56",3433.99,3426.1
"57",1835.1,1835.67
"58",2358.79,2357.56
"59",2748.16,2746.87
"60",2384.92,2384.43
"61",2376.49,2376.76
"62",1875.74,1876.71
