"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1961",19.701,14.934,14.903,15.19,15.195,8.8895,8.9137,10.014,10.039,10.496
"1962",20.849,18.03,17.992,13.147,13.224,10.082,10.117,9.893,9.9291,12.294
"1963",24.253,19.073,19.025,12.718,12.831,14,14.031,10.019,10.068,12.777
"1964",26.882,16.818,16.755,15.088,15.238,15.205,15.253,10.791,10.856,10.783
"1965",26.974,18.135,18.054,20.671,20.84,12.447,12.529,12.729,12.82,9.3852
"1966",29.333,26.785,26.641,19.439,19.671,12.951,13.047,17.278,17.405,9.5848
"1967",30.772,42.879,42.74,17.208,17.465,15.507,15.634,19.981,20.158,10.693
"1968",27.757,23.111,22.959,20.883,21.235,21.352,21.561,15.862,16.056,12.177
"1969",28.482,22.397,22.268,34.816,35.286,31.851,32.094,17.129,17.366,15.237
"1970",28.225,23.445,23.311,21.514,21.941,17.286,17.503,39.993,40.397,18.783
"1971",25.515,28.641,28.476,22.561,22.972,17.028,17.239,36.971,37.522,17.248
"1972",37.583,32.88,32.669,25.278,25.729,29.102,29.402,18.64,18.888,57.697
"1973",27.236,26.724,26.55,26.812,27.325,21.938,22.222,19.671,19.933,21.156
"1974",22.516,33.818,33.59,39.374,40.165,35.342,35.76,27.723,28.095,20.157
"1975",21.316,25.197,25.021,17.235,17.582,22.132,22.421,24.196,24.583,22.85
"1976",32.005,20.084,19.938,31.514,32.203,29.396,29.774,55.185,55.924,19.651
"1977",23.592,22.251,22.077,20.154,20.607,27.579,27.987,42.883,43.606,22.216
"1978",35.571,27.552,27.349,17.985,18.409,13.913,14.106,23.614,23.952,65.963
"1979",30.875,41.717,41.353,19.364,19.813,20.411,20.715,26.121,26.547,42.116
"1980",33.368,21.236,21.097,37.244,38.17,22.675,23.022,20.248,20.572,23.032
"1981",27.442,50.714,50.252,37.865,38.845,27.43,27.863,27.486,27.958,20.161
"1982",21.926,27.165,26.937,30.98,31.715,36.425,37.014,19.584,19.894,24.023
"1983",33.491,23.694,23.48,48.629,49.998,48.044,48.843,57.856,58.914,32.897
"1984",20.573,23.899,23.685,17.094,17.503,31.85,32.38,36.144,36.731,42.295
"1985",16.715,22.2,21.989,18.652,19.198,23.197,23.613,49.196,50.16,18.846
"1986",31.556,19.113,18.924,19.986,20.572,20.699,21.091,20.053,20.401,65.962
"1987",41.142,22.539,22.31,18.741,19.329,16.77,17.088,25.735,26.268,31.356
"1988",18.648,28.849,28.541,15.669,16.159,20.516,20.944,17.961,18.31,15.852
"1989",36.957,29.529,29.196,18.794,19.421,16.919,17.275,23.235,23.754,21.727
"1990",44.414,30.209,29.871,29.765,30.815,12.963,13.243,11.794,12.033,24.415
"1991",41.642,43.872,43.343,24.286,25.155,15.911,16.284,22.818,23.351,10.016
"1992",33.561,52.539,51.9,41.677,43.26,22.987,23.53,11.687,11.955,21.279
"1993",31.592,24.908,24.608,43.483,45.138,46.066,47.22,12.701,13.008,14.952
"1994",14.681,38.243,37.743,30.9,32.139,37.097,38.053,37.813,38.767,13.642
"1995",12.104,17.729,17.506,32.533,33.864,26.059,26.749,51.936,53.284,9.8137
"1996",7.5316,14.152,13.965,20.137,20.962,37.203,38.208,23.911,24.542,52.451
"1997",8.2904,8.2364,8.1269,16.071,16.762,29.784,30.652,21.717,22.302,34.711
"1998",9.7107,5.7446,5.67,13.06,13.638,14.102,14.49,45.556,46.87,21.274
