"","2019","2020","2021","2022"
"1961",8.5027,9.5945,9.6047,10.152
"1962",9.6154,9.4401,9.4575,11.836
"1963",13.18,9.5192,9.5443,12.233
"1964",14.152,10.206,10.24,10.294
"1965",11.678,11.972,12.021,8.9271
"1966",12.102,16.034,16.103,9.0651
"1967",14.472,18.324,18.421,10.048
"1968",20.169,14.837,14.944,11.373
"1969",28.337,16.278,16.411,14.086
"1970",16.681,35.434,35.662,17.386
"1971",16.361,34.77,35.071,16.724
"1972",26.48,17.496,17.641,51.89
"1973",21.579,18.263,18.413,20.814
"1974",32.643,25.078,25.278,18.926
"1975",21.97,25.174,25.428,21.134
"1976",27.775,47.994,48.368,18.536
"1977",27.505,44.768,45.236,21.632
"1978",13.778,21.618,21.805,61.483
"1979",20.465,25.996,26.255,42.418
"1980",23.199,20.061,20.258,22.282
"1981",28.227,27.67,27.961,20.15
"1982",38.243,19.345,19.535,23.763
"1983",49.105,57.646,58.289,33.196
"1984",32.015,34.691,35.038,40.816
"1985",23.641,48.25,48.832,18.434
"1986",20.915,19.269,19.475,64.457
"1987",16.842,24.881,25.2,30.158
"1988",20.786,17.25,17.458,15.354
"1989",17.027,22.541,22.855,21
"1990",13.109,11.378,11.521,23.688
"1991",16.272,22.174,22.499,9.7402
"1992",23.439,11.385,11.55,20.769
"1993",47.365,12.392,12.58,14.619
"1994",38.125,36.841,37.426,13.387
"1995",26.958,50.468,51.296,9.654
"1996",38.49,23.285,23.672,51.424
"1997",31.429,21.196,21.559,34.118
"1998",14.732,44.806,45.629,20.909
"1999",18.438,19.138,19.496,23.201
"2000",10.942,12.242,12.473,39.905
"2001",4.5509,16.584,16.924,16.4
"2002",4.81,8.1406,8.308,12.007
"2003",7.8579,4.0269,4.1085,15.038
"2004",6.7759,3.8855,3.9673,7.7467
"2005",7.6276,6.2528,6.3963,3.5309
"2006",8.7423,5.4098,5.534,3.5039
"2007",8.4878,6.6255,6.7894,5.6803
"2008",7.1111,7.2382,7.4256,4.8157
"2009",4.5048,7.6067,7.815,5.793
"2010",7.349,5.9125,6.0782,6.4836
"2011",5.2892,4.2121,4.3269,6.5197
"2012",6.0199,6.0281,6.209,5.2528
"2013",4.0699,5.7442,5.9051,3.8149
"2014",5.0447,7.3863,7.5845,5.6866
"2015",5.0039,6.1354,6.2578,5.0001
"2016",6.3306,7.9185,8.0503,6.6947
"2017",6.5964,8.6982,8.8104,5.7379
"2018",10.976,10.029,10.139,7.4938
"2019",10.969,10.715,10.818,8.2662
"2020",NA,11.365,11.47,9.4403
"2021",NA,NA,11.468,10.168
"2022",NA,NA,NA,10.793
