"","2021","2022"
"1961",47897,46056
"1962",46675,44787
"1963",44388,42455
"1964",40499,38534
"1965",34028,32036
"1966",24827,22788
"1967",20274,18208
"1968",18073,16047
"1969",16603,14720
"1970",15978,14305
"1971",16159,14669
"1972",15865,14468
"1973",15812,14245
"1974",16470,14453
"1975",17538,14853
"1976",18943,15457
"1977",20828,16480
"1978",23787,18602
"1979",27213,21324
"1980",30867,24565
"1981",34562,28141
"1982",38036,31572
"1983",40651,33929
"1984",43623,36351
"1985",47868,40061
"1986",52495,44521
"1987",56880,49310
"1988",60800,54035
"1989",64163,58190
"1990",67281,61762
"1991",70465,65008
"1992",72608,66995
"1993",73283,67624
"1994",74803,69475
"1995",75163,70590
"1996",74931,71303
"1997",75095,72339
"1998",74981,72892
"1999",74537,72839
"2000",72970,71319
"2001",72594,70566
"2002",72804,69954
"2003",73506,69566
"2004",73791,68856
"2005",74373,68853
"2006",74898,69256
"2007",74800,69475
"2008",74417,69815
"2009",73356,69812
"2010",71602,69282
"2011",69218,68109
"2012",66553,66482
"2013",62800,63497
"2014",59034,60165
"2015",55583,56863
"2016",52383,53626
"2017",49528,50652
"2018",47511,48510
"2019",45292,46186
"2020",42948,43740
"2021",40863,41528
"2022",NA,39386
