"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1961",55274,54250,51774,47133,47862,45352,45735,43610,42231,48273
"1962",53944,52927,50557,45945,46640,44152,44516,42522,41215,46904
"1963",51635,50588,48322,43701,44363,41902,42246,40355,39123,44467
"1964",47826,46703,44549,39863,40488,38091,38413,36579,35433,40425
"1965",41516,40283,38279,33436,34008,31757,32043,30222,29218,33740
"1966",32568,31182,29416,24292,24770,22768,22990,21167,20415,24160
"1967",28779,26919,25249,19988,20428,18376,18572,16706,16059,19435
"1968",27636,25141,23511,18184,18604,16285,16468,14566,13975,17182
"1969",27482,24256,22635,17235,17643,14914,15090,13124,12576,15774
"1970",28393,24384,22736,17171,17578,14429,14602,12482,11958,15297
"1971",30323,25468,23757,17915,18332,14803,14978,12595,12077,15622
"1972",32001,26224,24420,18212,18645,14747,14925,12176,11661,15386
"1973",34056,27358,25421,18722,19182,14850,15037,11924,11398,15149
"1974",36877,29386,27269,19887,20385,15537,15738,12304,11747,15368
"1975",40072,31990,29649,21421,21970,16557,16779,13010,12404,15798
"1976",43435,34931,32326,23268,23878,17896,18142,13962,13290,16451
"1977",46972,38096,35201,25507,26190,19657,19935,15297,14539,17548
"1978",51266,41983,38780,28636,29402,22345,22660,17609,16742,19779
"1979",55673,46006,42478,31985,32842,25306,25664,20300,19305,22646
"1980",60065,50132,46258,35423,36378,28404,28808,23172,22035,26068
"1981",64323,54330,50089,38943,40002,31612,32066,26084,24795,29854
"1982",68089,58256,53636,42304,43473,34702,35210,28789,27339,33516
"1983",70505,60972,55973,44636,45919,36868,37433,30624,28999,36114
"1984",72860,63539,58166,46902,48298,39105,39729,32793,30975,38792
"1985",76375,67072,61328,50054,51562,42312,42995,36236,34204,42790
"1986",80404,71005,64876,53419,55036,45723,46465,40107,37853,47581
"1987",84574,75133,68592,56763,58492,48973,49772,43839,41368,52740
"1988",88690,79437,72448,60203,62054,52105,52963,47243,44563,57855
"1989",92364,83631,76170,63688,65672,55138,56058,50211,47328,62401
"1990",95479,87528,79596,67227,69354,58292,59281,53016,49923,66360
"1991",98048,90913,82539,70656,72929,61624,62689,55928,52609,70003
"1992",98907,92401,83636,72466,74877,63754,64897,57821,54256,72414
"1993",97997,91768,82664,72134,74663,64072,65289,58275,54460,73499
"1994",98406,92019,82608,72384,75011,65012,66294,59638,55580,75828
"1995",98534,91595,81885,71577,74288,64762,66099,59931,55659,77425
"1996",99204,91478,81441,70639,73425,64094,65476,59731,55280,78583
"1997",101350,92806,82385,70752,73617,64104,65525,60023,55423,80000
"1998",104110,94896,84014,71323,74281,64159,65619,60125,55398,80867
"1999",107050,97536,86111,72319,75395,64269,65772,59970,55127,81074
"2000",108790,99570,87542,72849,76069,63715,65272,58752,53786,79785
"2001",110800,102480,89842,74713,78101,64667,66293,58758,53638,79236
"2002",111870,104980,91779,76797,80364,66253,67965,59368,54044,78838
"2003",111610,106450,92800,78535,82272,68049,69858,60487,54898,78710
"2004",109270,105840,91897,78808,82689,68966,70873,61206,55302,78336
"2005",106210,104190,90115,78423,82409,69695,71692,62227,55985,78747
"2006",102720,101620,87553,77240,81286,69914,71985,63199,56626,79610
"2007",98754,98096,84150,74993,79056,69145,71270,63565,56693,80296
"2008",95113,94521,80761,72420,76461,67902,70056,63647,56534,81071
"2009",91574,90849,77308,69459,73452,65982,68142,63054,55775,81443
"2010",88110,87215,73903,66321,70250,63531,65678,61767,54404,81198
"2011",84647,83644,70564,63146,67004,60735,62855,59845,52473,80197
"2012",81345,80308,67466,60215,64000,57985,60071,57628,50312,78624
"2013",77206,76177,63585,56556,60270,54423,56473,54306,47088,75583
"2014",NA,72118,59793,53036,56678,51012,53026,50950,43851,72100
"2015",NA,NA,56302,49830,53396,47968,49947,47898,40925,68588
"2016",NA,NA,NA,46807,50294,45149,47092,45088,38238,65111
"2017",NA,NA,NA,NA,47457,42603,44509,42602,35873,61887
"2018",NA,NA,NA,NA,NA,40834,42700,40923,34314,59497
"2019",NA,NA,NA,NA,NA,NA,40647,39000,32517,56930
"2020",NA,NA,NA,NA,NA,NA,NA,36894,30540,54244
"2021",NA,NA,NA,NA,NA,NA,NA,NA,28753,51789
"2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,49402
