"","obs","pred"
"1",800,823.86
"2",3250,3296.46
"3",6815,6950.54
"4",12170,12718.5
"5",17430,18938.2
"6",10040,10458.4
"7",6000,6118.58
"8",5010,5084.76
"9",3630,3661.92
"10",2245,2258.85
"11",3875,3908.12
"12",3880,3913.34
"13",2820,2836.22
"14",2550,2562.88
"15",2520,2530.82
"16",2275,2283.24
"17",622,633.937
"18",554,555.294
"19",670,671.486
"20",810,811.637
"21",1477,1478.45
"22",3920,3916.77
"23",3618,3615.5
"24",1002,1003.98
"25",185,186.041
"26",248,249.291
"27",483,484.898
"28",1107,1109.41
"29",1527,1529.24
"30",1716,1717.65
"31",4528,4517.35
"32",7770,7735.08
"33",4820.3,4803.73
"34",5966.19,5938.96
"35",5635.4,5611.28
"36",3340.31,3335.06
"37",2935.01,2931.74
"38",3055.45,3051.36
"39",5408.89,5381.29
"40",3333.47,3325.39
"41",3132.77,3127.17
"42",3339.25,3331.83
"43",5256.07,5229.6
"44",4810.79,4790.8
"45",4521.67,4506.16
"46",4957.71,4939.45
"47",4186.65,4178.16
"48",4052.09,4044.74
"49",3951.65,3943.96
"50",3902.36,3894.54
"51",3443.93,3439.37
"52",5077.01,5061.66
"53",4879.28,4868.27
"54",4278.23,4270.05
"55",3944.55,3937.2
"56",3433.99,3428.77
"57",1835.1,1835.98
"58",2358.79,2358.13
"59",2748.16,2746.94
"60",2384.92,2384.48
"61",2376.49,2376.59
"62",1875.74,1876.58
