"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1961",19.929,15.044,14.97,15.105,15.11,8.842,8.8608,10.03,10.05,10.493
"1962",21.149,18.169,18.078,13.142,13.193,10.033,10.06,9.9057,9.9346,12.29
"1963",24.626,19.26,19.145,12.746,12.82,13.9,13.925,10.028,10.067,12.769
"1964",27.328,17.05,16.908,15.133,15.232,15.111,15.15,10.797,10.849,10.769
"1965",27.482,18.421,18.243,20.685,20.798,12.425,12.49,12.733,12.804,9.3686
"1966",29.919,27.253,26.948,19.529,19.683,12.936,13.013,17.286,17.385,9.5651
"1967",31.431,43.52,43.172,17.341,17.512,15.498,15.599,19.986,20.123,10.668
"1968",28.382,23.633,23.31,21.084,21.317,21.379,21.544,15.845,15.993,12.144
"1969",29.155,22.874,22.591,35.048,35.364,31.788,31.988,17.097,17.278,15.191
"1970",28.913,23.944,23.65,21.815,22.097,17.417,17.589,40.001,40.315,18.723
"1971",26.113,29.267,28.902,22.842,23.115,17.154,17.322,36.909,37.33,17.198
"1972",38.592,33.703,33.238,25.6,25.902,29.249,29.495,18.612,18.801,57.482
"1973",27.93,27.335,26.964,27.159,27.499,22.099,22.323,19.644,19.845,21.099
"1974",23.12,34.72,34.218,40.059,40.59,35.7,36.044,27.701,27.988,20.092
"1975",21.872,25.852,25.472,17.478,17.707,22.333,22.563,24.121,24.411,22.769
"1976",32.978,20.632,20.316,32.127,32.59,29.718,30.026,55.144,55.715,19.584
"1977",24.184,22.911,22.535,20.539,20.841,28.014,28.347,42.77,43.315,22.169
"1978",36.721,28.288,27.855,18.366,18.651,14.08,14.235,23.574,23.833,65.689
"1979",31.729,43.126,42.337,19.757,20.058,20.738,20.986,26.078,26.401,42.112
"1980",34.436,21.709,21.416,38.108,38.728,23.053,23.335,20.207,20.452,23.006
"1981",28.301,52.477,51.48,38.811,39.474,27.928,28.282,27.424,27.777,20.162
"1982",22.583,27.971,27.489,31.62,32.108,37.111,37.591,19.543,19.776,24.019
"1983",34.586,24.484,24.026,49.977,50.904,48.98,49.637,57.548,58.335,32.814
"1984",21.241,24.682,24.224,17.435,17.707,32.44,32.872,35.944,36.386,42.091
"1985",17.273,22.972,22.52,19.177,19.545,23.688,24.029,48.855,49.573,18.781
"1986",32.634,19.801,19.396,20.539,20.934,21.165,21.487,19.966,20.229,65.68
"1987",42.678,23.366,22.878,19.295,19.691,17.131,17.391,25.575,25.973,31.251
"1988",19.293,29.967,29.309,16.126,16.456,21.03,21.381,17.872,18.135,15.79
"1989",38.413,30.723,30.012,19.382,19.804,17.326,17.618,23.088,23.476,21.643
"1990",46.16,31.436,30.712,30.76,31.469,13.286,13.516,11.734,11.914,24.313
"1991",43.336,45.765,44.636,25.099,25.684,16.356,16.662,22.671,23.069,9.9761
"1992",34.946,54.851,53.481,43.182,44.251,23.627,24.073,11.615,11.816,21.185
"1993",32.946,25.986,25.344,45.039,46.156,47.437,48.386,12.617,12.847,14.885
"1994",15.304,40.042,38.972,32.072,32.907,38.225,39.01,37.554,38.268,13.579
"1995",12.64,18.532,18.054,33.786,34.685,26.872,27.439,51.589,52.598,9.7702
"1996",7.8567,14.831,14.428,20.91,21.468,38.377,39.203,23.755,24.227,52.209
"1997",8.6684,8.6302,8.3952,16.72,17.187,30.814,31.528,21.573,22.01,34.558
"1998",10.167,6.0138,5.8535,13.6,13.991,14.541,14.859,45.231,46.213,21.177
"1999",10.741,9.0493,8.7918,5.231,5.3719,17.977,18.407,19.196,19.619,23.535
"2000",12.849,9.1989,8.9304,4.6634,4.7944,10.595,10.855,12.261,12.534,40.351
"2001",14.519,8.7429,8.4916,8.193,8.4422,4.4556,4.5579,16.439,16.834,16.438
"2002",10.924,11.477,11.126,7.386,7.6126,4.6752,4.7902,8.0584,8.2521,12.044
"2003",7.2295,12.146,11.77,8.1104,8.3658,7.6614,7.8645,4.0044,4.0996,14.97
"2004",10.845,8.5851,8.3183,8.7761,9.0574,6.6602,6.8352,3.8559,3.9508,7.7109
