"","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1961",62348,61431,60848,55017,55496,52349,52693,56578,57095,53801
"1962",60919,60015,59452,53663,54122,51003,51332,55183,55680,52399
"1963",58494,57570,57030,51249,51689,48596,48909,52716,53195,49928
"1964",54589,53606,53086,47267,47687,44629,44924,48669,49128,45879
"1965",48335,47247,46752,40808,41202,38190,38461,42130,42566,39336
"1966",39751,38489,38027,31838,32195,29204,29439,33037,33439,30215
"1967",35724,34064,33619,27298,27635,24556,24773,28230,28614,25406
"1968",34224,32008,31575,25146,25470,22180,22385,25690,26059,22906
"1969",33723,30823,30398,23827,24141,20530,20727,23860,24218,21174
"1970",34343,30664,30242,23450,23758,19785,19977,22894,23243,20336
"1971",36038,31508,31083,23973,24279,19936,20125,22779,23122,20312
"1972",37483,32056,31623,24105,24411,19666,19853,22206,22543,19725
"1973",39290,33027,32580,24543,24855,19646,19834,21946,22282,19213
"1974",41829,34910,34440,25731,26056,20332,20527,22507,22847,19247
"1975",44690,37348,36849,27347,27690,21447,21653,23586,23935,19556
"1976",47678,40096,39560,29299,29667,22945,23166,25115,25479,20142
"1977",50794,43050,42473,31660,32058,24901,25142,27224,27611,21223
"1978",54598,46709,46087,34947,35382,27810,28075,30483,30901,23491
"1979",58402,50433,49764,38467,38943,30992,31285,34223,34677,26425
"1980",62077,54150,53430,42066,42587,34318,34642,38177,38672,29934
"1981",65542,57814,57042,45691,46259,37759,38118,42163,42701,33815
"1982",68487,61107,60280,49063,49682,41055,41453,45939,46522,37564
"1983",70089,63133,62252,51299,51969,43346,43783,48867,49499,40231
"1984",71649,65021,64085,53418,54141,45618,46096,52139,52825,42957
"1985",74343,67895,66904,56420,57193,48796,49316,56619,57363,46963
"1986",77454,71137,70089,59624,60449,52129,52689,61374,62176,51694
"1987",80580,74490,73380,62790,63669,55284,55884,65789,66647,56711
"1988",83557,77904,76727,66019,66957,58324,58966,69697,70607,61614
"1989",86088,81105,79858,69241,70244,61267,61956,73053,74013,65914
"1990",88161,83982,82664,72467,73541,64326,65067,76189,77201,69621
"1991",89854,86416,85032,75557,76702,67549,68347,79422,80489,73007
"1992",90002,87087,85643,77034,78248,69539,70396,81623,82750,75133
"1993",88519,85794,84296,76418,77692,69705,70617,82338,83526,75899
"1994",88430,85518,83969,76457,77783,70517,71480,83876,85123,77894
"1995",88052,84642,83042,75493,76863,70165,71170,84228,85525,79142
"1996",88144,84087,82430,74447,75860,69426,70468,83970,85308,79971
"1997",89607,84935,83211,74499,75958,69392,70466,84097,85467,81098
"1998",91550,86445,84641,75039,76553,69419,70527,83927,85323,81706
"1999",93571,88378,86481,76008,77590,69518,70662,83408,84826,81672
"2000",94362,89582,87582,76477,78141,68960,70150,81746,83185,80138
"2001",95514,91629,89526,78252,80010,69923,71171,81263,82730,79334
"2002",95902,93301,91105,80220,82077,71518,72837,81355,82859,78635
"2003",95198,94065,91795,81819,83770,73315,74713,81924,83476,78123
"2004",92654,92933,90616,81930,83960,74216,75694,82049,83661,77255
"2005",89605,90977,88639,81380,83467,74918,76469,82456,84130,77085
"2006",86263,88300,85966,80048,82168,75095,76707,82789,84523,77325
"2007",82535,84828,82515,77671,79800,74260,75915,82475,84261,77388
"2008",79168,81404,79123,74993,77112,72935,74614,81853,83677,77575
"2009",75925,77932,75689,71945,74039,70919,72603,80532,82378,77404
"2010",72783,74519,72315,68729,70790,68363,70038,78506,80356,76684
"2011",69678,71188,69024,65481,67505,65458,67112,75849,77689,75298
"2012",66777,68119,65996,62484,64471,62597,64226,72920,74735,73443
"2013",63089,64292,62211,58774,60722,58926,60526,68911,70693,70224
"2014",NA,60582,58546,55224,57134,55416,56988,64896,66641,66658
"2015",NA,NA,55210,52004,53874,52283,53826,61203,62909,63127
"2016",NA,NA,NA,48981,50809,49381,50896,57769,59438,59661
"2017",NA,NA,NA,NA,48034,46769,48256,54698,56331,56461
"2018",NA,NA,NA,NA,NA,44949,46406,52489,54088,54101
"2019",NA,NA,NA,NA,NA,NA,44329,50107,51674,51573
"2020",NA,NA,NA,NA,NA,NA,NA,47635,49170,48947
"2021",NA,NA,NA,NA,NA,NA,NA,NA,46969,46581
"2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,44317
