year,	biomass,	sd
1990,	108148087.8,	18151386.36	
1993,	107693387	,16178717.86	
1996,	175964486.8,	36335438.22	
1999,	175565892.2,	52647648.22	
2001,	242550271.2,	34895355
2003,	116238787.3,	20280389.81	
2005,	243211703	,31681175.7	
2007,	212166176.2,	33397681.39	
2009,	88418070.22,	13406689.5	
2011,	164590596	,33976680.95	
2013,	394875132.2,	92110636.58	
2015,	115695151.9,	29612596.81	
2017,	176571828.5,	28675422.41	
2019,	110294384.8,	17857766.16	
2021,	74614663.3,	11557640.27	
2023,	78284858.73,	22774151.43	
