year,	biomass,	sd	
1990,	79073960.3	,15805746.36
1993,	90538053.4	,16600008.17
1996,	117744270.8	,21898137.75
1999,	92306477.21	,18241780.22
2001,	114889830.5	,24012371.69
2003,	85157275.36	,16780524.76
2005,	181068031.6	,33699272.12
2007,	128874386	,24268857.55
2009,	68650026.78	,13077690.31
2011,	112810579.5	,25646520.78
2013,	154250258.7	,34797276.94
2015,	76237185.76	,16639959.36
2017,	145967720.9	,32476844.07
2019,	123810801.9	,29718364.16
2021,	92357866.33	,23027818.93
2023,	47998892.14	,13622013.06
