Category,Time,Stratum,Units,Estimate,StdError,StdErrorln
1,1990,Stratum_1,kg,109024.3383,18426.89227,0.330729997
1,1991,Stratum_1,kg,0,0,0
1,1992,Stratum_1,kg,0,0,0
1,1993,Stratum_1,kg,109051.6171,16580.87726,0.269033484
1,1994,Stratum_1,kg,0,0,0
1,1995,Stratum_1,kg,0,0,0
1,1996,Stratum_1,kg,175681.9342,36166.39646,0.36678581
1,1997,Stratum_1,kg,0,0,0
1,1998,Stratum_1,kg,0,0,0
1,1999,Stratum_1,kg,176218.2188,52936.43925,0.548372235
1,2000,Stratum_1,kg,0,0,0
1,2001,Stratum_1,kg,234747.2776,32918.75526,0.255666185
1,2002,Stratum_1,kg,0,0,0
1,2003,Stratum_1,kg,107666.5198,17460.78258,0.314178966
1,2004,Stratum_1,kg,0,0,0
1,2005,Stratum_1,kg,236680.399,30481.87736,0.2219097
1,2006,Stratum_1,kg,0,0,0
1,2007,Stratum_1,kg,207225.4812,31790.01025,0.276466164
1,2008,Stratum_1,kg,0,0,0
1,2009,Stratum_1,kg,89928.12976,13894.50963,0.29974949
1,2010,Stratum_1,kg,0,0,0
1,2011,Stratum_1,kg,156067.267,29937.28773,0.377968041
1,2012,Stratum_1,kg,0,0,0
1,2013,Stratum_1,kg,364242.5051,79270.34585,0.4044178
1,2014,Stratum_1,kg,0,0,0
1,2015,Stratum_1,kg,110450.4617,27333.96275,0.470378722
1,2016,Stratum_1,kg,0,0,0
1,2017,Stratum_1,kg,174414.03,27723.96877,0.313354955
1,2018,Stratum_1,kg,0,0,0
1,2019,Stratum_1,kg,110012.2182,17730.26358,0.317402303
1,2020,Stratum_1,kg,0,0,0
1,2021,Stratum_1,kg,73887.83291,11474.84582,0.313065402
