Category,Time,Stratum,Units,Estimate,Std. Error for Estimate,Std. Error for ln(Estimate)
1,1990,Stratum_1, [kg],79881.02014,16058.48767,0.22668741
1,1991,Stratum_1, [kg],0,0,0
1,1992,Stratum_1, [kg],0,0,0
1,1993,Stratum_1, [kg],91753.1378,16857.24198,0.206428704
1,1994,Stratum_1, [kg],0,0,0
1,1995,Stratum_1, [kg],0,0,0
1,1996,Stratum_1, [kg],119052.6373,22239.53147,0.208837113
1,1997,Stratum_1, [kg],0,0,0
1,1998,Stratum_1, [kg],0,0,0
1,1999,Stratum_1, [kg],93243.83918,18532.43059,0.223196166
1,2000,Stratum_1, [kg],0,0,0
1,2001,Stratum_1, [kg],117372.7972,24648.2699,0.236045537
1,2002,Stratum_1, [kg],0,0,0
1,2003,Stratum_1, [kg],85247.07617,16823.01054,0.221298327
1,2004,Stratum_1, [kg],0,0,0
1,2005,Stratum_1, [kg],181553.2697,33886.71988,0.210150467
1,2006,Stratum_1, [kg],0,0,0
1,2007,Stratum_1, [kg],130687.5351,24745.92753,0.212073015
1,2008,Stratum_1, [kg],0,0,0
1,2009,Stratum_1, [kg],69817.62811,13377.03461,0.214459542
1,2010,Stratum_1, [kg],0,0,0
1,2011,Stratum_1, [kg],114441.6666,26080.69484,0.256673222
1,2012,Stratum_1, [kg],0,0,0
1,2013,Stratum_1, [kg],155679.5339,35258.32545,0.254986801
1,2014,Stratum_1, [kg],0,0,0
1,2015,Stratum_1, [kg],77209.81477,16938.18293,0.245749049
1,2016,Stratum_1, [kg],0,0,0
1,2017,Stratum_1, [kg],147571.3697,32988.83296,0.251829398
1,2018,Stratum_1, [kg],0,0,0
1,2019,Stratum_1, [kg],124825.679,30106.57039,0.272230107
1,2020,Stratum_1, [kg],0,0,0
1,2021,Stratum_1, [kg],93585.47293,23483.43801,0.283585742
