item,y1,y2,y3,y4
M (natural mortality),0.059,0.059,0.059,0.059
Tier,3a,3a,3a,3a
Projected total (age 2+) biomass (t),95452,93022,94225,93000
Projected female spawning biomass (t),39445,37470,38075,36469
B100%,82350,82350,82350,82350
B40%,32940,32940,32940,32940
B35%,28822,28822,28822,28822
FOFL,0.074,0.074,0.074,0.074
maxFABC,0.061,0.061,0.061,0.061
FABC,0.061,0.061,0.061,0.061
OFL (t),5927,5661,5743,5542
maxABC (t),4965,4742,4811,4642
ABC (t),4965,4742,4811,4642
blank,NA,NA,NA,NA
Status,2023,2024,2023,2024
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
