"year","recruits","rec_lci","rec_uci","tot_biom","tot_lci","tot_uci","sp_biom","sp_lci","sp_uci"
1977,21632,27.7140776156957,4223.79205777256,78863,51080.065,113676.4,19280,10938.0125,30630.0825
1978,61483,140.985995566056,6399.47532913199,87174,57328.1925,124023.85,21387,12584.04,33007.095
1979,42418,48.9705280805279,5717.31321417311,96564,63959.8325,135730.725,24115,14681.55,36162.0825
1980,22282,24.6688440837453,3753.05154199393,106369,71107.505,148981.65,27377,17016.66,40250.0525
1981,20150,33.8202599254263,3231.62441787778,116187,77981.735,161696.4,30988,19544.385,44899.975
1982,23763,22.399706572082,3320.84342952229,125181,84203.66,173587.4,34471,21801.2175,49318.02
1983,33196,76.8515859000058,4742.18160601024,131554,87562.8775,183354.025,36896,23255.1,53045.2225
1984,40816,25.4201285570565,4186.21834078637,138341,91781.7725,193529.9,39407,24776.865,56707.54
1985,18434,28.4319586893702,4246.02996582748,147389,98446.1625,205102.175,43218,27499.57,61704.5425
1986,64457,182.562445573029,5830.37463285636,158062,106748.775,219207.95,47775,30859.965,67800.0274999999
1987,30158,57.2419849773313,3849.04312210533,168707,114594.825,232880.1,52651,34371.05,74225.3675
1988,15354,29.0909852344567,2256.37605597816,178686,121615.525,245214.225,57460,37904.335,80242.795
1989,21000,46.0497192120909,2292.20966365905,187393,128292.95,256618.2,61723,40885.235,85370.4425
1990,23688,238.756819327208,2470.14592163874,194853,133579.975,266483.725,65441,43536.3125,90399.4025
1991,9740,24.703042471565,1411.51878283852,200820,137707.125,273547.25,68868,46029.1175,94919.84
1992,20769,160.862483834188,2035.35949293876,202824,138067.125,277273.875,71045,47259.245,98139.625
1993,14619,43.9943435755295,1764.82060994061,200351,134010.325,276159.725,71854,47182.485,100246.125
1994,13387,58.074875759281,1525.00517990276,199780,132808.05,276334.95,73870,48202.5475,103297.1
1995,9654,23.1765116771003,1261.76309587839,196931,129845.125,274725.15,75129,48500.175,105794.225
1996,51424,1365.94749772798,4134.76193846879,194645,127392.55,273535.85,75964,48500.465,107178.35
1997,34118,496.802100165799,3140.77091784789,194933,127077.825,274690.375,77104,49154.445,108853.25
1998,20909,71.5360726499351,2309.18047110049,195825,127251.375,276588.375,77740,49431.28,110011.15
1999,23201,107.931300245911,2297.87909562499,196825,127795.725,278834.775,77752,49313.14,110161.05
2000,39905,895.390293934693,3588.86780297559,196100,126196.3,279882.95,76279,47825.7775,108924.7
2001,16400,31.8912900124368,1726.46587423094,197516,126398.85,282851.775,75549,47069.9,107928.8
2002,12007,51.6535006770817,1508.71100922866,198877,127097.875,285168.125,74932,46492.12,107251.85
2003,15038,108.722174427564,1591.1754914598,199591,126880.35,287117.9,74504,46042.5025,106970.375
2004,7747,31.4685583611908,889.198083992532,197577,123844.9,285640.4,73718,45142.845,106807.725
2005,3531,13.0373466695904,516.899473287459,194994,121079.225,283540.575,73626,44549.5,107899.2
2006,3504,14.048361612198,497.192081050006,191586,118008.8,280361.125,73941,44327.0325,108917.7
2007,5680,32.6020236638849,648.000340427836,186684,113471.4,275090.875,74079,44024.0025,109795.5
2008,4816,23.9066144299355,645.204613710787,181586,108984.025,268838.55,74344,43562.2025,111245.1
2009,5793,22.387964175953,751.602338810202,175830,104145.55,261874.05,74260,43205.8575,111158.275
2010,6484,32.1960883246728,818.225477745404,169580,99215.21,254114.525,73639,42427.04,110690.95
2011,6520,27.4213806069741,849.350912977666,162969,94115.6025,246927.575,72361,41127.7275,109704.625
2012,5253,19.1113928353037,715.243073477849,156532,89288.45,238458.95,70623,39637.575,107686.55
2013,3815,13.7325471202859,568.396542008719,148267,82681.315,228274.15,67525,37142.71,103977.325
2014,5687,19.5372071891391,784.329984154861,140180,76182.4375,218036.275,64082,34490.4025,99645.5549999999
2015,5000,13.9530552329588,825.290442828425,132734,70486.3025,209261.05,60669,31854.7625,95315.735
2016,6695,16.7291559277871,1094.6215627966,125763,64996.2075,200589.55,57319,29305.605,91007.455
2017,5738,12.8412691201591,1237.17397098454,119466,60198.1525,191876.825,54230,27108.51,87036.9724999999
2018,7494,13.6429144865963,1835.83151031228,114994,57191.0775,184963.275,51975,25578.615,84113.7325
2019,8266,14.1150894035079,1943.60963051713,110257,53916.4725,178030.475,49547,23949.36,80748.8899999999
2020,9440,15.7860814059294,2989.15735431349,105483,50331.125,171112.375,47015,22114.2575,77206.1775
2021,10168,17.3133857754754,3266.94530164032,101489,47222.895,165564.825,44738,20575.5225,73891.485
2022,10793,17.1355338991543,5792.65536946605,97950,43839.02,161538.325,42555,18985.11,70924.845
2023,17580,485.7892,88111.6524999998,95559,NA,NA,39463,17219.37,66191.5775
2024,17580,467.422,97233.5124999999,92840,NA,NA,37360,16344.245,61687.385
