"age","fish","srv1","maturity"
2,6.25502e-05,0.00734957,0.0037307
3,0.000300434,0.0146719,0.00711441
4,0.00144171,0.0290756,0.0135255
5,0.00688852,0.0568047,0.025565
6,0.0322489,0.108036,0.0478021
7,0.138001,0.195877,0.0876418
8,0.43475,0.32881,0.155271
9,0.787011,0.49628,0.260203
10,0.946672,0.66459,0.402277
11,0.98841,0.799394,0.562901
12,0.997565,0.889063,0.711334
13,0.999492,0.94158,0.825029
14,0.999894,0.970072,0.900225
15,0.999978,0.984892,0.945249
16,0.999995,0.99243,0.970619
17,0.999999,0.996222,0.984427
18,1,0.998118,0.9918
19,1,0.999063,0.995698
20,1,0.999534,0.997747
21,1,0.999768,0.998821
22,1,0.999885,0.999384
23,1,0.999943,0.999678
24,1,0.999971,0.999832
25,1,0.999986,0.999912
26,1,0.999993,0.999954
27,1,0.999996,0.999976
28,1,0.999998,0.999987
29,1,0.999999,0.999993
30,1,1,0.999997
31,1,1,0.999998
32,1,1,0.999999
33,1,1,1
34,1,1,1
35,1,1,1
36,1,1,1
37,1,1,1
38,1,1,1
39,1,1,1
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,1,1
45,1,1,1
46,1,1,1
47,1,1,1
48,1,1,1
49,1,1,1
50,1,1,1
51,1,1,1
