year,performance,specimen_type,join_key,haul_join,port_join,species,fmp_gear,fmp_area,fmp_subarea,age,length,weight,gear_type,haul_seq
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,10,35,0.63,NA,NA
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,29,36,0.65,NA,NA
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,13,36,0.66,NA,NA
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,16,36,0.67,NA,NA
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,23,39,0.83,NA,NA
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,33,39,0.86,NA,NA
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,30,39,0.88,NA,NA
1998,NA,1,82286,NA,82286,303,TRW,GOA,CG,20,40,0.79,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,7,29,0.5,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,8,32,0.7,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,11,36,0.9,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,10,37,0.9,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,14,37,1,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,10,37,1,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,18,38,1,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,21,40,1.1,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,25,40,1.2,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,23,41,1.1,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,16,41,1.1,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,14,41,1.2,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,14,41,1.2,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,23,41,1.2,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,16,42,1.2,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,16,42,1.2,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,23,42,1.3,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,16,43,1.3,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,22,43,1.3,NA,NA
1998,NA,1,79921,NA,79921,303,TRW,GOA,CG,23,43,1.4,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,6,28,0.3,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,8,33,0.8,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,39,39,1.1,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,35,39,1.1,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,14,39,1.2,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,24,41,1.2,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,18,42,1.3,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,25,42,1.4,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,19,42,1.4,NA,NA
1998,NA,1,79931,NA,79931,303,TRW,GOA,CG,22,42,1.4,NA,NA
1998,NA,1,82250,NA,82250,303,TRW,GOA,CG,21,40,0.96,NA,NA
