survey,survey_year,species_code,sex,age,agepop,mean_length,standard_deviation
GOA,1984,30420,1,6,1678167.3333333333,259.5602425026348,12.880995467162677
GOA,1984,30420,1,7,3316670.966765873,281.91927720623744,10.125954144926913
GOA,1984,30420,1,8,4223663.208074534,296.0523780609204,12.732008595658977
GOA,1984,30420,1,9,2326084.7641261215,302.99233577011825,11.16187021765243
GOA,1984,30420,1,10,1685581.5466269841,313.03033405233435,15.739423934635388
GOA,1984,30420,1,11,1792919.088768116,314.99643951112,9.363548517350383
GOA,1984,30420,1,12,855866.1510308833,326.9037712871357,14.88794212852156
GOA,1984,30420,1,13,1386691.4706909938,330.2932989045379,16.84167180642192
GOA,1984,30420,1,14,1882634.4039639407,333.9384397507064,19.498325743572625
GOA,1984,30420,1,15,1555167.1868831953,332.7405043154533,24.708501699410885
GOA,1984,30420,1,16,1040447.3831521738,332.3878297838312,13.670211481880088
GOA,1984,30420,1,17,904623.5232919254,341.51205535042,23.529040304133964
GOA,1984,30420,1,18,670232.6795031056,345.71531675380515,18.486702971278856
GOA,1984,30420,1,20,247807.3152173913,335.4851387208145,4.976408385729681
GOA,1984,30420,1,23,310082.9,363.2075261164031,9.471630071565192
GOA,1984,30420,1,24,411602.25,350.8367118984408,8.585695586789344
GOA,1984,30420,1,25,112342.46428571428,320,0
GOA,1984,30420,1,26,204771.40000000002,370.00000000000006,NA
GOA,1984,30420,1,27,346548.75,346.07773076659487,4.882468268688325
GOA,1984,30420,1,29,282707.46428571426,344.10477564579946,19.574238603267013
GOA,1984,30420,1,33,170365,360,0
GOA,1984,30420,1,35,170365,360,0
GOA,1984,30420,1,40,135925.75,340,0
GOA,1984,30420,1,-9,3610733,217.05137710265478,71.38763309910203
GOA,1984,30420,2,5,922421,240,0
GOA,1984,30420,2,6,908756,250,0
GOA,1984,30420,2,7,2607596.6666666665,277.73405012789556,12.94024321184173
GOA,1984,30420,2,8,8150279.548120915,295.0626364982922,16.61584278460578
GOA,1984,30420,2,9,4924469.102287581,307.15935097058104,17.073046964154393
GOA,1984,30420,2,10,1651145.6142973856,316.40198607739103,14.013075812712906
GOA,1984,30420,2,11,1182235.0939542484,327.64812062130943,6.609402205898081
GOA,1984,30420,2,12,823360.573120915,321.7914608934733,11.226178580891174
GOA,1984,30420,2,13,3206474.64630719,353.324268542187,18.535279740486306
GOA,1984,30420,2,14,2466900.762973856,350.53275301769037,23.898911885441713
GOA,1984,30420,2,15,2510926.2462418303,347.6133281607184,21.59361408914526
GOA,1984,30420,2,16,1528503.7967973857,360.9279868401169,19.235542589241348
GOA,1984,30420,2,17,339441.56000000006,387.0874786222406,18.702076001857442
GOA,1984,30420,2,18,538425.1078431372,341.6034036399901,8.319709755566825
GOA,1984,30420,2,19,369250.26444444444,347.80518589442795,14.735363317464643
GOA,1984,30420,2,20,236429.22222222222,350,0
GOA,1984,30420,2,21,214972.6875,320,0
GOA,1984,30420,2,22,628429.5283333333,374.7192299740148,13.294078049110773
GOA,1984,30420,2,23,1727988.7183333335,377.5952469639532,7.796951872574032
GOA,1984,30420,2,24,943308.2755555556,375.4415731900572,20.555592101620064
