"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1990","Stratum_1"," [kg*km2/km2]",109024.338324635,18426.8922738745,0.330729997104273
"1","1991","Stratum_1"," [kg*km2/km2]",0,0,0
"1","1992","Stratum_1"," [kg*km2/km2]",0,0,0
"1","1993","Stratum_1"," [kg*km2/km2]",109051.617156632,16580.877267567,0.269033484268911
"1","1994","Stratum_1"," [kg*km2/km2]",0,0,0
"1","1995","Stratum_1"," [kg*km2/km2]",0,0,0
"1","1996","Stratum_1"," [kg*km2/km2]",175681.934248887,36166.3964646967,0.366785809481221
"1","1997","Stratum_1"," [kg*km2/km2]",0,0,0
"1","1998","Stratum_1"," [kg*km2/km2]",0,0,0
"1","1999","Stratum_1"," [kg*km2/km2]",176218.218867439,52936.4392894093,0.54837223536114
"1","2000","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2001","Stratum_1"," [kg*km2/km2]",234747.277623747,32918.755254982,0.255666185225778
"1","2002","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2003","Stratum_1"," [kg*km2/km2]",107666.519813149,17460.7825863071,0.314178966393006
"1","2004","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2005","Stratum_1"," [kg*km2/km2]",236680.398984356,30481.8773443398,0.221909699861563
"1","2006","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2007","Stratum_1"," [kg*km2/km2]",207225.48124476,31790.0102620169,0.276466163781256
"1","2008","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2009","Stratum_1"," [kg*km2/km2]",89928.1297740208,13894.5096347426,0.299749489952207
"1","2010","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2011","Stratum_1"," [kg*km2/km2]",156067.26705602,29937.2877403477,0.377968041041226
"1","2012","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2013","Stratum_1"," [kg*km2/km2]",364242.505023066,79270.3458341003,0.404417799736318
"1","2014","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2015","Stratum_1"," [kg*km2/km2]",110450.461739456,27333.9627546601,0.470378721431461
"1","2016","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2017","Stratum_1"," [kg*km2/km2]",174414.030006232,27723.9687660907,0.313354954453283
"1","2018","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2019","Stratum_1"," [kg*km2/km2]",110012.218240027,17730.2635761472,0.317402302613485
"1","2020","Stratum_1"," [kg*km2/km2]",0,0,0
"1","2021","Stratum_1"," [kg*km2/km2]",73887.8329277633,11474.8458191265,0.313065402451475
"1","1990","Stratum_2"," [kg*km2/km2]",44168.560866655,9932.04551345561,0.465444145250148
"1","1991","Stratum_2"," [kg*km2/km2]",0,0,0
"1","1992","Stratum_2"," [kg*km2/km2]",0,0,0
"1","1993","Stratum_2"," [kg*km2/km2]",21917.8272855244,4893.72330461618,0.451613391188686
"1","1994","Stratum_2"," [kg*km2/km2]",0,0,0
"1","1995","Stratum_2"," [kg*km2/km2]",0,0,0
"1","1996","Stratum_2"," [kg*km2/km2]",67413.7362212862,18378.2428744414,0.520620705327015
"1","1997","Stratum_2"," [kg*km2/km2]",0,0,0
"1","1998","Stratum_2"," [kg*km2/km2]",0,0,0
"1","1999","Stratum_2"," [kg*km2/km2]",44188.1766327207,7965.02712859319,0.324705810115275
"1","2000","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2001","Stratum_2"," [kg*km2/km2]",70431.8048442589,14154.6644928768,0.382747542754519
"1","2002","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2003","Stratum_2"," [kg*km2/km2]",35117.8141154829,8945.00202740496,0.512920945317348
"1","2004","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2005","Stratum_2"," [kg*km2/km2]",116113.878452775,22944.2452289363,0.328692947287242
"1","2006","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2007","Stratum_2"," [kg*km2/km2]",110059.41979574,25416.336709197,0.419026578614993
"1","2008","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2009","Stratum_2"," [kg*km2/km2]",39372.0659908006,8269.41444548891,0.387510108200073
"1","2010","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2011","Stratum_2"," [kg*km2/km2]",39794.1998015375,8551.75471795335,0.408882917580391
"1","2012","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2013","Stratum_2"," [kg*km2/km2]",65327.9617207253,14639.4964559389,0.447430818301041
"1","2014","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2015","Stratum_2"," [kg*km2/km2]",17227.7550579574,3493.92452834543,0.404548743074562
"1","2016","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2017","Stratum_2"," [kg*km2/km2]",72985.0130362355,15992.1408719659,0.42427110099096
"1","2018","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2019","Stratum_2"," [kg*km2/km2]",43113.2228566654,9734.02150877861,0.437492163334054
"1","2020","Stratum_2"," [kg*km2/km2]",0,0,0
"1","2021","Stratum_2"," [kg*km2/km2]",40642.5545364089,8970.65125494583,0.436104519588164
"1","1990","Stratum_3"," [kg*km2/km2]",64451.9603331631,14623.7870009056,0.427517689205385
"1","1991","Stratum_3"," [kg*km2/km2]",0,0,0
"1","1992","Stratum_3"," [kg*km2/km2]",0,0,0
"1","1993","Stratum_3"," [kg*km2/km2]",86865.1907070274,15429.963728544,0.304396681970437
"1","1994","Stratum_3"," [kg*km2/km2]",0,0,0
"1","1995","Stratum_3"," [kg*km2/km2]",0,0,0
"1","1996","Stratum_3"," [kg*km2/km2]",107664.897697033,30967.9747662767,0.491136278406235
"1","1997","Stratum_3"," [kg*km2/km2]",0,0,0
"1","1998","Stratum_3"," [kg*km2/km2]",0,0,0
"1","1999","Stratum_3"," [kg*km2/km2]",131689.579720603,52140.7314434337,0.725489926486452
"1","2000","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2001","Stratum_3"," [kg*km2/km2]",163522.896467281,28283.2711077193,0.309190294552706
"1","2002","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2003","Stratum_3"," [kg*km2/km2]",72260.0389880281,14418.9044051264,0.379175290617644
"1","2004","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2005","Stratum_3"," [kg*km2/km2]",119962.750744168,18529.2189306135,0.275230178667897
"1","2006","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2007","Stratum_3"," [kg*km2/km2]",96733.3197516084,18105.8019333868,0.334261328366485
"1","2008","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2009","Stratum_3"," [kg*km2/km2]",50276.5311471384,10582.6424008979,0.42489845340878
"1","2010","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2011","Stratum_3"," [kg*km2/km2]",115982.735137503,28004.4943565701,0.481338182660501
"1","2012","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2013","Stratum_3"," [kg*km2/km2]",298362.270709842,76978.4053105863,0.472021794376855
"1","2014","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2015","Stratum_3"," [kg*km2/km2]",93001.4802078507,26576.7783658209,0.538106755801878
"1","2016","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2017","Stratum_3"," [kg*km2/km2]",101029.989429252,20100.2575405794,0.39700888722652
"1","2018","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2019","Stratum_3"," [kg*km2/km2]",66610.4180676169,13337.279490399,0.398106611445823
"1","2020","Stratum_3"," [kg*km2/km2]",0,0,0
"1","2021","Stratum_3"," [kg*km2/km2]",33013.3976689359,6043.57309068135,0.377830849710594
"1","1990","Stratum_4"," [kg*km2/km2]",403.817124816773,69.8056852416169,0.408965330402531
"1","1991","Stratum_4"," [kg*km2/km2]",0,0,0
"1","1992","Stratum_4"," [kg*km2/km2]",0,0,0
"1","1993","Stratum_4"," [kg*km2/km2]",268.599164079631,48.1593226325042,0.459218820264001
"1","1994","Stratum_4"," [kg*km2/km2]",0,0,0
"1","1995","Stratum_4"," [kg*km2/km2]",0,0,0
"1","1996","Stratum_4"," [kg*km2/km2]",603.300330567838,104.974114713573,0.421213425762854
"1","1997","Stratum_4"," [kg*km2/km2]",0,0,0
"1","1998","Stratum_4"," [kg*km2/km2]",0,0,0
"1","1999","Stratum_4"," [kg*km2/km2]",340.462514114708,63.7631776976329,0.475467733639895
"1","2000","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2001","Stratum_4"," [kg*km2/km2]",792.576312206924,166.774424458467,0.556343077101071
"1","2002","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2003","Stratum_4"," [kg*km2/km2]",288.666709637818,56.1560421675257,0.512566386871152
"1","2004","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2005","Stratum_4"," [kg*km2/km2]",603.769787412922,107.034336832196,0.456429465641425
"1","2006","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2007","Stratum_4"," [kg*km2/km2]",432.741697411634,84.4347267212099,0.512627585453983
"1","2008","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2009","Stratum_4"," [kg*km2/km2]",279.532636081932,54.3372213070747,0.50506161564211
"1","2010","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2011","Stratum_4"," [kg*km2/km2]",290.332116979384,59.2604408642915,0.536529947422591
"1","2012","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2013","Stratum_4"," [kg*km2/km2]",552.272592498796,113.614994935322,0.541816661971435
"1","2014","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2015","Stratum_4"," [kg*km2/km2]",221.226473648264,45.2040163532292,0.534771593508535
"1","2016","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2017","Stratum_4"," [kg*km2/km2]",399.02754074361,82.7848914056678,0.543938507753469
"1","2018","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2019","Stratum_4"," [kg*km2/km2]",288.577315745049,62.6199074628958,0.573602065537439
"1","2020","Stratum_4"," [kg*km2/km2]",0,0,0
"1","2021","Stratum_4"," [kg*km2/km2]",231.880722418562,49.7904258232478,0.567173135676172
