item,y1,y2,y3,y4
M (natural mortality),0.059,0.059,0.059,0.059
Tier,3a,3a,3a,3a
Projected total (age 2+) biomass (t),94319,93088,96967,95374
Projected female spawning biomass (t),38118,36510,40392,38675
B100%,82350,82350,84695,84695
B40%,32940,32940,33878,33878
B35%,28822,28822,29643,29643
FOFL,0.074,0.074,0.074,0.074
maxFABC,0.061,0.061,0.062,0.062
FABC,0.061,0.061,0.062,0.062
OFL (t),5750,5548,6064,5848
maxABC (t),4816,4647,5077,4896
ABC (t),4816,4647,5077,4896
blank,NA,NA,NA,NA
Status,2023,2024,2024,2025
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
